timestamp(ms),solenoid_commanded,analog value (1-1024) (raw),
"99.802","139",,
"99.806",,"515",
"99.808","139",,
"99.812",,"518",
"99.814","139",,
"99.817",,"522",
"99.82","140",,
"99.823",,"525",
"99.826","140",,
"99.829",,"523",
"99.832","140",,
"99.835",,"520",
"99.838","140",,
"99.842",,"518",
"99.845","140",,
"99.848",,"515",
"99.85","140",,
"99.854",,"513",
"99.856","140",,
"99.86",,"514",
"99.862","140",,
"99.866",,"518",
"99.868","140",,
"99.871",,"521",
"99.874","140",,
"99.877",,"525",
"99.88","141",,
"99.884",,"524",
"99.887","141",,
"99.89",,"522",
"99.893","141",,
"99.896",,"519",
"99.899","141",,
"99.902",,"517",
"99.905","141",,
"99.908",,"514",
"99.91","141",,
"99.914",,"513",
"99.916","141",,
"99.92",,"516",
"99.922","141",,
"99.927",,"520",
"99.929","141",,
"99.932",,"523",
"99.935","141",,
"99.938",,"525",
"99.941","142",,
"99.944",,"523",
"99.947","142",,
"99.95",,"520",
"99.953","142",,
"99.956",,"517",
"99.959","142",,
"99.962",,"515",
"99.964","142",,
"99.969",,"513",
"99.971","142",,
"99.975",,"515",
"99.977","142",,
"99.981",,"518",
"99.983","142",,
"99.986",,"522",
"99.989","142",,
"99.992",,"526",
"99.995","142",,
"99.998",,"524",
"100.001","143",,
"100.004",,"523",
"100.007","143",,
"100.011",,"524",
"100.014","143",,
"100.017",,"526",
"100.02","143",,
"100.023",,"524",
"100.026","143",,
"100.029",,"523",
"100.032","143",,
"100.036",,"520",
"100.038","143",,
"100.042",,"518",
"100.044","143",,
"100.048",,"516",
"100.05","143",,
"100.055",,"514",
"100.057","143",,
"100.061",,"514",
"100.063","144",,
"100.067",,"514",
"100.069","144",,
"100.073",,"515",
"100.076","144",,
"100.079",,"516",
"100.082","144",,
"100.085",,"518",
"100.088","144",,
"100.091",,"519",
"100.094","144",,
"100.098",,"521",
"100.101","144",,
"100.104",,"522",
"100.107","144",,
"100.11",,"523",
"100.113","144",,
"100.116",,"525",
"100.119","144",,
"100.122",,"526",
"100.125","145",,
"100.128",,"526",
"100.131","145",,
"100.134",,"524",
"100.137","145",,
"100.142",,"522",
"100.144","145",,
"100.148",,"520",
"100.15","145",,
"100.154",,"518",
"100.156","145",,
"100.16",,"516",
"100.162","145",,
"100.166",,"514",
"100.168","145",,
"100.172",,"513",
"100.174","145",,
"100.178",,"515",
"100.182","145",,
"100.185",,"516",
"100.188","146",,
"100.191",,"518",
"100.194","146",,
"100.197",,"520",
"100.2","146",,
"100.203",,"521",
"100.206","146",,
"100.209",,"523",
"100.212","146",,
"100.215",,"524",
"100.218","146",,
"100.221",,"525",
"100.225","146",,
"100.228",,"526",
"100.231","146",,
"100.234",,"525",
"100.237","146",,
"100.24",,"522",
"100.243","146",,
"100.247",,"520",
"100.249","147",,
"100.253",,"519",
"100.255","147",,
"100.259",,"516",
"100.261","147",,
"100.265",,"515",
"100.268","147",,
"100.272",,"514",
"100.274","147",,
"100.278",,"515",
"100.28","147",,
"100.284",,"516",
"100.287","147",,
"100.29",,"517",
"100.293","147",,
"100.296",,"519",
"100.299","147",,
"100.302",,"520",
"100.305","147",,
"100.308",,"522",
"100.312","148",,
"100.315",,"523",
"100.318","148",,
"100.321",,"525",
"100.324","148",,
"100.327",,"526",
"100.33","148",,
"100.333",,"527",
"100.336","148",,
"100.339",,"525",
"100.342","148",,
"100.345",,"523",
"100.348","148",,
"100.353",,"520",
"100.355","148",,
"100.359",,"518",
"100.361","148",,
"100.365",,"517",
"100.367","148",,
"100.371",,"515",
"100.373","149",,
"100.377",,"514",
"100.379","149",,
"100.383",,"515",
"100.386","149",,
"100.389",,"517",
"100.392","149",,
"100.396",,"518",
"100.399","149",,
"100.402",,"520",
"100.405","149",,
"100.408",,"521",
"100.411","149",,
"100.414",,"522",
"100.417","149",,
"100.42",,"524",
"100.423","149",,
"100.426",,"525",
"100.429","149",,
"100.432",,"526",
"100.435","150",,
"100.439",,"527",
"100.442","150",,
"100.445",,"525",
"100.448","150",,
"100.452",,"523",
"100.454","150",,
"100.458",,"521",
"100.46","150",,
"100.464",,"519",
"100.466","150",,
"100.47",,"517",
"100.472","150",,
"100.476",,"515",
"100.478","150",,
"100.483",,"515",
"100.485","150",,
"100.489",,"516",
"100.492","150",,
"100.495",,"517",
"100.498","151",,
"100.501",,"519",
"100.504","151",,
"100.507",,"520",
"100.51","151",,
"100.513",,"521",
"100.516","151",,
"100.519",,"523",
"100.523","151",,
"100.526",,"524",
"100.529","151",,
"100.532",,"525",
"100.535","151",,
"100.538",,"527",
"100.541","151",,
"100.544",,"527",
"100.547","151",,
"100.55",,"525",
"100.553","151",,
"100.557",,"523",
"100.559","152",,
"100.563",,"521",
"100.566","152",,
"100.57",,"519",
"100.572","152",,
"100.576",,"517",
"100.578","152",,
"100.582",,"515",
"100.584","152",,
"100.588",,"515",
"100.59","152",,
"100.594",,"517",
"100.597","152",,
"100.6",,"518",
"100.603","152",,
"100.606",,"519",
"100.61","152",,
"100.613",,"521",
"100.616","152",,
"100.619",,"522",
"100.622","153",,
"100.625",,"523",
"100.628","153",,
"100.631",,"525",
"100.634","153",,
"100.637",,"526",
"100.64","153",,
"100.643",,"528",
"100.646","153",,
"100.649",,"528",
"100.653","153",,
"100.656",,"525",
"100.659","153",,
"100.663",,"523",
"100.665","153",,
"100.669",,"521",
"100.671","153",,
"100.675",,"520",
"100.677","153",,
"100.681",,"517",
"100.683","154",,
"100.687",,"516",
"100.689","154",,
"100.694",,"516",
"100.696","154",,
"100.7",,"518",
"100.703","154",,
"100.706",,"519",
"100.709","154",,
"100.712",,"520",
"100.715","154",,
"100.718",,"522",
"100.721","154",,
"100.724",,"523",
"100.727","154",,
"100.73",,"524",
"100.733","154",,
"100.737",,"525",
"100.74","154",,
"100.743",,"527",
"100.746","155",,
"100.749",,"528",
"100.752","155",,
"100.755",,"529",
"100.758","155",,
"100.761",,"527",
"100.764","155",,
"100.768",,"525",
"100.77","155",,
"100.774",,"523",
"100.776","155",,
"100.781",,"521",
"100.783","155",,
"100.787",,"519",
"100.789","155",,
"100.793",,"516",
"100.795","155",,
"100.799",,"516",
"100.801","155",,
"100.805",,"517",
"100.808","156",,
"100.811",,"520",
"100.814","156",,
"100.817",,"521",
"100.82","156",,
"100.824",,"523",
"100.827","156",,
"100.83",,"524",
"100.833","156",,
"100.836",,"525",
"100.839","156",,
"100.842",,"526",
"100.845","156",,
"100.848",,"528",
"100.851","156",,
"100.854",,"529",
"100.857","156",,
"100.86",,"528",
"100.864","156",,
"100.867",,"526",
"100.87","157",,
"100.874",,"524",
"100.876","157",,
"100.88",,"522",
"100.882","157",,
"100.886",,"520",
"100.888","157",,
"100.892",,"518",
"100.894","157",,
"100.898",,"516",
"100.9","157",,
"100.904",,"518",
"100.908","157",,
"100.911",,"519",
"100.914","157",,
"100.917",,"520",
"100.92","157",,
"100.923",,"522",
"100.926","157",,
"100.929",,"523",
"100.932","158",,
"100.935",,"525",
"100.938","158",,
"100.941",,"526",
"100.944","158",,
"100.947",,"528",
"100.951","158",,
"100.954",,"529",
"100.957","158",,
"100.96",,"530",
"100.963","158",,
"100.966",,"529",
"100.969","158",,
"100.973",,"527",
"100.975","158",,
"100.979",,"524",
"100.981","158",,
"100.985",,"522",
"100.987","158",,
"100.992",,"520",
"100.994","159",,
"100.998",,"519",
"101","159",,
"101.004",,"518",
"101.006","159",,
"101.01",,"519",
"101.013","159",,
"101.016",,"521",
"101.019","159",,
"101.022",,"522",
"101.025","159",,
"101.028",,"523",
"101.031","159",,
"101.035",,"525",
"101.038","159",,
"101.041",,"526",
"101.044","159",,
"101.047",,"527",
"101.05","159",,
"101.053",,"528",
"101.056","160",,
"101.059",,"529",
"101.062","160",,
"101.065",,"531",
"101.068","160",,
"101.071",,"530",
"101.074","160",,
"101.079",,"528",
"101.081","160",,
"101.085",,"525",
"101.087","160",,
"101.091",,"523",
"101.093","160",,
"101.097",,"521",
"101.099","160",,
"101.103",,"519",
"101.105","160",,
"101.109",,"518",
"101.111","160",,
"101.115",,"520",
"101.118","161",,
"101.122",,"522",
"101.125","161",,
"101.128",,"523",
"101.131","161",,
"101.134",,"525",
"101.137","161",,
"101.14",,"526",
"101.143","161",,
"101.146",,"527",
"101.149","161",,
"101.152",,"528",
"101.155","161",,
"101.158",,"529",
"101.161","161",,
"101.165",,"530",
"101.168","161",,
"101.171",,"531",
"101.174","161",,
"101.177",,"530",
"101.18","162",,
"101.184",,"528",
"101.186","162",,
"101.19",,"526",
"101.192","162",,
"101.196",,"524",
"101.198","162",,
"101.202",,"522",
"101.204","162",,
"101.209",,"520",
"101.211","162",,
"101.215",,"520",
"101.217","162",,
"101.221",,"522",
"101.224","162",,
"101.227",,"523",
"101.23","162",,
"101.233",,"524",
"101.236","162",,
"101.239",,"526",
"101.242","163",,
"101.245",,"527",
"101.249","163",,
"101.252",,"528",
"101.255","163",,
"101.258",,"529",
"101.261","163",,
"101.264",,"530",
"101.267","163",,
"101.27",,"532",
"101.273","163",,
"101.276",,"533",
"101.279","163",,
"101.282",,"531",
"101.285","163",,
"101.289",,"529",
"101.292","163",,
"101.296",,"526",
"101.298","163",,
"101.302",,"524",
"101.304","164",,
"101.308",,"522",
"101.31","164",,
"101.314",,"521",
"101.316","164",,
"101.32",,"522",
"101.322","164",,
"101.326",,"523",
"101.329","164",,
"101.332",,"524",
"101.336","164",,
"101.339",,"525",
"101.342","164",,
"101.345",,"527",
"101.348","164",,
"101.351",,"528",
"101.354","164",,
"101.357",,"529",
"101.36","164",,
"101.363",,"530",
"101.366","165",,
"101.369",,"531",
"101.372","165",,
"101.376",,"532",
"101.379","165",,
"101.382",,"534",
"101.385","165",,
"101.388",,"533",
"101.391","165",,
"101.395",,"530",
"101.397","165",,
"101.401",,"528",
"101.403","165",,
"101.407",,"526",
"101.409","165",,
"101.413",,"524",
"101.415","165",,
"101.42",,"522",
"101.422","165",,
"101.426",,"522",
"101.429","166",,
"101.432",,"524",
"101.435","166",,
"101.438",,"526",
"101.441","166",,
"101.444",,"527",
"101.447","166",,
"101.45",,"528",
"101.453","166",,
"101.456",,"529",
"101.459","166",,
"101.463",,"530",
"101.466","166",,
"101.469",,"531",
"101.472","166",,
"101.475",,"532",
"101.478","166",,
"101.481",,"533",
"101.484","166",,
"101.487",,"534",
"101.49","167",,
"101.494",,"532",
"101.496","167",,
"101.5",,"530",
"101.502","167",,
"101.507",,"528",
"101.509","167",,
"101.513",,"526",
"101.515","167",,
"101.519",,"523",
"101.521","167",,
"101.525",,"523",
"101.527","167",,
"101.531",,"524",
"101.534","167",,
"101.537",,"525",
"101.54","167",,
"101.543",,"526",
"101.547","167",,
"101.55",,"527",
"101.553","168",,
"101.556",,"529",
"101.559","168",,
"101.562",,"530",
"101.565","168",,
"101.568",,"532",
"101.571","168",,
"101.574",,"533",
"101.577","168",,
"101.58",,"534",
"101.583","168",,
"101.586",,"535",
"101.59","168",,
"101.593",,"535",
"101.596","168",,
"101.6",,"532",
"101.602","168",,
"101.606",,"531",
"101.608","168",,
"101.612",,"528",
"101.614","169",,
"101.618",,"526",
"101.62","169",,
"101.624",,"524",
"101.626","169",,
"101.63",,"525",
"101.633","169",,
"101.637",,"525",
"101.64","169",,
"101.643",,"527",
"101.646","169",,
"101.649",,"528",
"101.652","169",,
"101.655",,"529",
"101.658","169",,
"101.661",,"530",
"101.664","169",,
"101.667",,"531",
"101.67","169",,
"101.673",,"532",
"101.677","170",,
"101.68",,"534",
"101.683","170",,
"101.686",,"535",
"101.689","170",,
"101.692",,"536",
"101.695","170",,
"101.698",,"536",
"101.701","170",,
"101.705",,"534",
"101.707","170",,
"101.711",,"531",
"101.713","170",,
"101.718",,"529",
"101.72","170",,
"101.724",,"527",
"101.726","170",,
"101.73",,"525",
"101.732","170",,
"101.736",,"525",
"101.738","171",,
"101.742",,"526",
"101.745","171",,
"101.748",,"528",
"101.751","171",,
"101.754",,"529",
"101.757","171",,
"101.761",,"530",
"101.764","171",,
"101.767",,"531",
"101.77","171",,
"101.773",,"533",
"101.776","171",,
"101.779",,"534",
"101.782","171",,
"101.785",,"534",
"101.788","171",,
"101.791",,"535",
"101.794","171",,
"101.797",,"537",
"101.8","172",,
"101.804",,"537",
"101.807","172",,
"101.811",,"534",
"101.813","172",,
"101.817",,"532",
"101.819","172",,
"101.823",,"530",
"101.825","172",,
"101.829",,"527",
"101.831","172",,
"101.835",,"526",
"101.837","172",,
"101.841",,"527",
"101.844","172",,
"101.848",,"528",
"101.851","172",,
"101.854",,"529",
"101.857","172",,
"101.86",,"530",
"101.863","173",,
"101.866",,"531",
"101.869","173",,
"101.872",,"533",
"101.875","173",,
"101.878",,"534",
"101.881","173",,
"101.884",,"535",
"101.888","173",,
"101.891",,"536",
"101.894","173",,
"101.897",,"537",
"101.9","173",,
"101.903",,"538",
"101.906","173",,
"101.91",,"537",
"101.912","173",,
"101.916",,"535",
"101.918","173",,
"101.922",,"532",
"101.924","174",,
"101.928",,"530",
"101.931","174",,
"101.935",,"528",
"101.937","174",,
"101.941",,"527",
"101.943","174",,
"101.947",,"528",
"101.95","174",,
"101.953",,"529",
"101.956","174",,
"101.959",,"531",
"101.962","174",,
"101.965",,"531",
"101.968","174",,
"101.971",,"532",
"101.975","174",,
"101.978",,"533",
"101.981","174",,
"101.984",,"535",
"101.987","175",,
"101.99",,"535",
"101.993","175",,
"101.996",,"536",
"101.999","175",,
"102.002",,"537",
"102.005","175",,
"102.008",,"539",
"102.011","175",,
"102.016",,"539",
"102.018","175",,
"102.022",,"537",
"102.024","175",,
"102.028",,"534",
"102.03","175",,
"102.034",,"532",
"102.036","175",,
"102.04",,"530",
"102.042","175",,
"102.046",,"528",
"102.048","176",,
"102.052",,"529",
"102.055","176",,
"102.059",,"531",
"102.062","176",,
"102.065",,"532",
"102.068","176",,
"102.071",,"533",
"102.074","176",,
"102.077",,"534",
"102.08","176",,
"102.083",,"535",
"102.086","176",,
"102.089",,"536",
"102.092","176",,
"102.095",,"537",
"102.098","176",,
"102.102",,"538",
"102.105","176",,
"102.108",,"539",
"102.111","177",,
"102.114",,"540",
"102.117","177",,
"102.121",,"539",
"102.123","177",,
"102.127",,"536",
"102.129","177",,
"102.133",,"534",
"102.135","177",,
"102.139",,"531",
"102.141","177",,
"102.146",,"529",
"102.148","177",,
"102.152",,"529",
"102.154","177",,
"102.158",,"530",
"102.161","177",,
"102.164",,"531",
"102.167","177",,
"102.17",,"532",
"102.173","178",,
"102.176",,"534",
"102.179","178",,
"102.182",,"535",
"102.185","178",,
"102.189",,"536",
"102.192","178",,
"102.195",,"537",
"102.198","178",,
"102.201",,"538",
"102.204","178",,
"102.207",,"539",
"102.21","178",,
"102.213",,"540",
"102.216","178",,
"102.219",,"541",
"102.222","178",,
"102.226",,"539",
"102.228","178",,
"102.233",,"536",
"102.235","179",,
"102.239",,"534",
"102.241","179",,
"102.245",,"532",
"102.247","179",,
"102.251",,"530",
"102.253","179",,
"102.257",,"530",
"102.259","179",,
"102.263",,"532",
"102.266","179",,
"102.269",,"533",
"102.273","179",,
"102.276",,"534",
"102.279","179",,
"102.282",,"535",
"102.285","179",,
"102.288",,"536",
"102.291","179",,
"102.294",,"537",
"102.297","180",,
"102.3",,"538",
"102.303","180",,
"102.306",,"539",
"102.309","180",,
"102.312",,"540",
"102.316","180",,
"102.319",,"541",
"102.322","180",,
"102.325",,"542",
"102.328","180",,
"102.332",,"540",
"102.334","180",,
"102.338",,"537",
"102.34","180",,
"102.344",,"535",
"102.346","180",,
"102.35",,"533",
"102.352","180",,
"102.356",,"530",
"102.359","181",,
"102.363",,"531",
"102.366","181",,
"102.369",,"533",
"102.372","181",,
"102.375",,"534",
"102.378","181",,
"102.381",,"535",
"102.384","181",,
"102.387",,"536",
"102.39","181",,
"102.393",,"537",
"102.396","181",,
"102.4",,"538",
"102.403","181",,
"102.406",,"539",
"102.409","181",,
"102.412",,"540",
"102.415","181",,
"102.418",,"541",
"102.421","182",,
"102.424",,"542",
"102.427","182",,
"102.431",,"543",
"102.433","182",,
"102.437",,"540",
"102.439","182",,
"102.444",,"538",
"102.446","182",,
"102.45",,"536",
"102.452","182",,
"102.456",,"534",
"102.458","182",,
"102.462",,"532",
"102.464","182",,
"102.468",,"533",
"102.471","182",,
"102.474",,"534",
"102.477","182",,
"102.48",,"535",
"102.483","183",,
"102.487",,"536",
"102.49","183",,
"102.493",,"538",
"102.496","183",,
"102.499",,"538",
"102.502","183",,
"102.505",,"539",
"102.508","183",,
"102.511",,"540",
"102.514","183",,
"102.517",,"541",
"102.52","183",,
"102.523",,"542",
"102.526","183",,
"102.53",,"543",
"102.533","183",,
"102.537",,"543",
"102.539","183",,
"102.543",,"540",
"102.545","184",,
"102.549",,"538",
"102.551","184",,
"102.555",,"536",
"102.557","184",,
"102.561",,"534",
"102.563","184",,
"102.567",,"533",
"102.569","184",,
"102.574",,"534",
"102.577","184",,
"102.58",,"535",
"102.583","184",,
"102.586",,"536",
"102.589","184",,
"102.592",,"537",
"102.595","184",,
"102.598",,"538",
"102.601","184",,
"102.604",,"539",
"102.607","185",,
"102.61",,"540",
"102.614","185",,
"102.617",,"541",
"102.62","185",,
"102.623",,"542",
"102.626","185",,
"102.629",,"543",
"102.632","185",,
"102.635",,"544",
"102.638","185",,
"102.642",,"545",
"102.644","185",,
"102.648",,"543",
"102.65","185",,
"102.654",,"540",
"102.657","185",,
"102.661",,"537",
"102.663","185",,
"102.667",,"535",
"102.669","186",,
"102.673",,"534",
"102.675","186",,
"102.679",,"536",
"102.682","186",,
"102.685",,"536",
"102.688","186",,
"102.691",,"538",
"102.694","186",,
"102.697",,"539",
"102.701","186",,
"102.704",,"540",
"102.707","186",,
"102.71",,"541",
"102.713","186",,
"102.716",,"541",
"102.719","186",,
"102.722",,"542",
"102.725","186",,
"102.728",,"543",
"102.731","187",,
"102.734",,"544",
"102.737","187",,
"102.74",,"545",
"102.744","187",,
"102.748",,"545",
"102.75","187",,
"102.754",,"542",
"102.756","187",,
"102.76",,"540",
"102.762","187",,
"102.766",,"537",
"102.768","187",,
"102.772",,"535",
"102.774","187",,
"102.778",,"536",
"102.78","187",,
"102.785",,"537",
"102.788","187",,
"102.791",,"538",
"102.794","188",,
"102.797",,"539",
"102.8","188",,
"102.803",,"540",
"102.806","188",,
"102.809",,"541",
"102.812","188",,
"102.815",,"542",
"102.818","188",,
"102.821",,"543",
"102.824","188",,
"102.828",,"544",
"102.831","188",,
"102.834",,"544",
"102.837","188",,
"102.84",,"545",
"102.843","188",,
"102.846",,"546",
"102.849","188",,
"102.853",,"545",
"102.855","189",,
"102.859",,"543",
"102.861","189",,
"102.865",,"540",
"102.867","189",,
"102.872",,"538",
"102.874","189",,
"102.878",,"536",
"102.88","189",,
"102.884",,"537",
"102.887","189",,
"102.89",,"538",
"102.893","189",,
"102.896",,"539",
"102.899","189",,
"102.902",,"540",
"102.905","189",,
"102.908",,"541",
"102.912","189",,
"102.915",,"541",
"102.918","190",,
"102.921",,"543",
"102.924","190",,
"102.927",,"544",
"102.93","190",,
"102.933",,"545",
"102.936","190",,
"102.939",,"545",
"102.942","190",,
"102.945",,"546",
"102.948","190",,
"102.952",,"547",
"102.955","190",,
"102.959",,"546",
"102.961","190",,
"102.965",,"543",
"102.967","190",,
"102.971",,"541",
"102.973","190",,
"102.977",,"538",
"102.979","191",,
"102.983",,"538",
"102.985","191",,
"102.989",,"539",
"102.992","191",,
"102.995",,"539",
"102.999","191",,
"103.002",,"540",
"103.005","191",,
"103.008",,"541",
"103.011","191",,
"103.014",,"542",
"103.017","191",,
"103.02",,"543",
"103.023","191",,
"103.026",,"544",
"103.029","191",,
"103.032",,"544",
"103.035","191",,
"103.038",,"545",
"103.042","192",,
"103.045",,"546",
"103.048","192",,
"103.051",,"548",
"103.054","192",,
"103.058",,"548",
"103.06","192",,
"103.064",,"547",
"103.066","192",,
"103.07",,"544",
"103.072","192",,
"103.076",,"541",
"103.078","192",,
"103.083",,"539",
"103.085","192",,
"103.089",,"538",
"103.091","192",,
"103.095",,"539",
"103.098","192",,
"103.101",,"540",
"103.104","193",,
"103.107",,"541",
"103.11","193",,
"103.113",,"542",
"103.116","193",,
"103.119",,"543",
"103.122","193",,
"103.126",,"544",
"103.129","193",,
"103.132",,"545",
"103.135","193",,
"103.138",,"546",
"103.141","193",,
"103.144",,"546",
"103.147","193",,
"103.15",,"547",
"103.153","193",,
"103.156",,"548",
"103.159","193",,
"103.163",,"549",
"103.165","194",,
"103.17",,"547",
"103.172","194",,
"103.176",,"544",
"103.178","194",,
"103.182",,"542",
"103.184","194",,
"103.188",,"539",
"103.19","194",,
"103.194",,"540",
"103.196","194",,
"103.2",,"541",
"103.203","194",,
"103.206",,"541",
"103.209","194",,
"103.213",,"542",
"103.216","194",,
"103.219",,"544",
"103.222","194",,
"103.225",,"544",
"103.228","195",,
"103.231",,"545",
"103.234","195",,
"103.237",,"546",
"103.24","195",,
"103.243",,"546",
"103.246","195",,
"103.249",,"547",
"103.252","195",,
"103.256",,"548",
"103.259","195",,
"103.262",,"549",
"103.265","195",,
"103.269",,"550",
"103.271","195",,
"103.275",,"549",
"103.277","195",,
"103.281",,"546",
"103.283","195",,
"103.287",,"544",
"103.289","196",,
"103.293",,"540",
"103.296","196",,
"103.3",,"542",
"103.303","196",,
"103.306",,"543",
"103.309","196",,
"103.312",,"543",
"103.315","196",,
"103.318",,"544",
"103.321","196",,
"103.324",,"545",
"103.327","196",,
"103.33",,"545",
"103.333","196",,
"103.336",,"546",
"103.34","196",,
"103.343",,"547",
"103.346","196",,
"103.349",,"548",
"103.352","197",,
"103.355",,"549",
"103.358","197",,
"103.361",,"550",
"103.364","197",,
"103.368",,"550",
"103.37","197",,
"103.374",,"550",
"103.376","197",,
"103.38",,"549",
"103.383","197",,
"103.387",,"546",
"103.389","197",,
"103.393",,"543",
"103.395","197",,
"103.399",,"541",
"103.401","197",,
"103.405",,"542",
"103.408","197",,
"103.411",,"543",
"103.414","198",,
"103.417",,"544",
"103.42","198",,
"103.424",,"545",
"103.427","198",,
"103.43",,"546",
"103.433","198",,
"103.436",,"547",
"103.439","198",,
"103.442",,"547",
"103.445","198",,
"103.448",,"548",
"103.451","198",,
"103.454",,"549",
"103.457","198",,
"103.46",,"550",
"103.463","198",,
"103.467",,"550",
"103.47","198",,
"103.474",,"551",
"103.476","199",,
"103.48",,"551",
"103.482","199",,
"103.486",,"549",
"103.488","199",,
"103.492",,"546",
"103.494","199",,
"103.498",,"544",
"103.5","199",,
"103.504",,"543",
"103.506","199",,
"103.511",,"544",
"103.514","199",,
"103.517",,"544",
"103.52","199",,
"103.523",,"545",
"103.526","199",,
"103.529",,"546",
"103.532","199",,
"103.535",,"547",
"103.538","200",,
"103.541",,"547",
"103.544","200",,
"103.547",,"548",
"103.55","200",,
"103.554",,"549",
"103.557","200",,
"103.56",,"550",
"103.563","200",,
"103.566",,"551",
"103.569","200",,
"103.572",,"551",
"103.575","200",,
"103.579",,"552",
"103.581","200",,
"103.585",,"552",
"103.587","200",,
"103.591",,"549",
"103.593","200",,
"103.598",,"546",
"103.6","201",,
"103.604",,"544",
"103.606","201",,
"103.61",,"544",
"103.612","201",,
"103.616",,"545",
"103.619","201",,
"103.622",,"546",
"103.625","201",,
"103.628",,"546",
"103.631","201",,
"103.634",,"547",
"103.638","201",,
"103.641",,"548",
"103.644","201",,
"103.647",,"549",
"103.65","201",,
"103.653",,"549",
"103.656","201",,
"103.659",,"550",
"103.662","202",,
"103.665",,"551",
"103.668","202",,
"103.671",,"552",
"103.674","202",,
"103.677",,"552",
"103.681","202",,
"103.685",,"553",
"103.687","202",,
"103.691",,"553",
"103.693","202",,
"103.697",,"550",
"103.699","202",,
"103.703",,"547",
"103.705","202",,
"103.709",,"545",
"103.711","202",,
"103.715",,"545",
"103.717","202",,
"103.721",,"545",
"103.725","203",,
"103.728",,"547",
"103.731","203",,
"103.734",,"548",
"103.737","203",,
"103.74",,"549",
"103.743","203",,
"103.746",,"549",
"103.749","203",,
"103.752",,"550",
"103.755","203",,
"103.758",,"551",
"103.761","203",,
"103.764",,"551",
"103.768","203",,
"103.771",,"552",
"103.774","203",,
"103.777",,"553",
"103.78","203",,
"103.783",,"553",
"103.786","204",,
"103.79",,"554",
"103.792","204",,
"103.796",,"553",
"103.798","204",,
"103.802",,"550",
"103.804","204",,
"103.809",,"548",
"103.811","204",,
"103.815",,"546",
"103.817","204",,
"103.821",,"546",
"103.824","204",,
"103.827",,"547",
"103.83","204",,
"103.833",,"548",
"103.836","204",,
"103.839",,"548",
"103.842","204",,
"103.845",,"549",
"103.848","205",,
"103.852",,"550",
"103.855","205",,
"103.858",,"551",
"103.861","205",,
"103.864",,"551",
"103.867","205",,
"103.87",,"552",
"103.873","205",,
"103.876",,"553",
"103.879","205",,
"103.882",,"553",
"103.885","205",,
"103.889",,"554",
"103.891","205",,
"103.896",,"555",
"103.898","205",,
"103.902",,"555",
"103.904","205",,
"103.908",,"552",
"103.91","206",,
"103.914",,"549",
"103.916","206",,
"103.92",,"547",
"103.922","206",,
"103.926",,"548",
"103.929","206",,
"103.932",,"548",
"103.936","206",,
"103.939",,"549",
"103.942","206",,
"103.945",,"550",
"103.948","206",,
"103.951",,"551",
"103.954","206",,
"103.957",,"551",
"103.96","206",,
"103.963",,"552",
"103.966","206",,
"103.969",,"553",
"103.972","207",,
"103.975",,"553",
"103.979","207",,
"103.982",,"554",
"103.985","207",,
"103.988",,"555",
"103.991","207",,
"103.995",,"555",
"103.997","207",,
"104.001",,"556",
"104.003","207",,
"104.007",,"554",
"104.009","207",,
"104.013",,"552",
"104.015","207",,
"104.019",,"549",
"104.022","207",,
"104.026",,"548",
"104.028","207",,
"104.032",,"549",
"104.035","208",,
"104.038",,"550",
"104.041","208",,
"104.044",,"550",
"104.047","208",,
"104.05",,"551",
"104.053","208",,
"104.056",,"552",
"104.059","208",,
"104.062",,"552",
"104.066","208",,
"104.069",,"553",
"104.072","208",,
"104.075",,"554",
"104.078","208",,
"104.081",,"554",
"104.084","208",,
"104.087",,"555",
"104.09","208",,
"104.093",,"556",
"104.096","209",,
"104.1",,"556",
"104.102","209",,
"104.107",,"557",
"104.109","209",,
"104.113",,"555",
"104.115","209",,
"104.119",,"552",
"104.121","209",,
"104.125",,"550",
"104.127","209",,
"104.131",,"549",
"104.133","209",,
"104.137",,"550",
"104.14","209",,
"104.143",,"551",
"104.146","209",,
"104.15",,"551",
"104.153","209",,
"104.156",,"552",
"104.159","210",,
"104.162",,"553",
"104.165","210",,
"104.168",,"554",
"104.171","210",,
"104.174",,"555",
"104.177","210",,
"104.18",,"555",
"104.183","210",,
"104.186",,"555",
"104.189","210",,
"104.193",,"556",
"104.196","210",,
"104.199",,"557",
"104.202","210",,
"104.206",,"557",
"104.208","210",,
"104.212",,"557",
"104.214","210",,
"104.218",,"555",
"104.22","211",,
"104.224",,"553",
"104.226","211",,
"104.23",,"550",
"104.232","211",,
"104.237",,"551",
"104.239","211",,
"104.243",,"551",
"104.246","211",,
"104.249",,"552",
"104.252","211",,
"104.255",,"553",
"104.258","211",,
"104.261",,"553",
"104.264","211",,
"104.267",,"554",
"104.27","211",,
"104.273",,"554",
"104.276","211",,
"104.28",,"555",
"104.283","212",,
"104.286",,"556",
"104.289","212",,
"104.292",,"556",
"104.295","212",,
"104.298",,"557",
"104.301","212",,
"104.304",,"557",
"104.307","212",,
"104.311",,"558",
"104.313","212",,
"104.317",,"558",
"104.32","212",,
"104.324",,"556",
"104.326","212",,
"104.33",,"553",
"104.332","212",,
"104.336",,"551",
"104.338","212",,
"104.342",,"552",
"104.345","213",,
"104.348",,"552",
"104.351","213",,
"104.354",,"553",
