timestamp(ms),solenoid_commanded,analog value (1-1024) (raw),
"91.168",,"510",
"91.171","4",,
"91.174",,"510",
"91.177","4",,
"91.181",,"510",
"91.183","4",,
"91.187",,"510",
"91.189","4",,
"91.192",,"510",
"91.195","4",,
"91.198",,"510",
"91.201","4",,
"91.204",,"510",
"91.206","4",,
"91.209",,"510",
"91.212","4",,
"91.215",,"509",
"91.218","4",,
"91.222",,"510",
"91.225","4",,
"91.228",,"510",
"91.23","3",,
"91.233",,"510",
"91.236","3",,
"91.239",,"510",
"91.242","3",,
"91.245",,"510",
"91.247","3",,
"91.251",,"510",
"91.253","3",,
"91.256",,"510",
"91.259","3",,
"91.262",,"510",
"91.266","3",,
"91.269",,"510",
"91.271","3",,
"91.274",,"510",
"91.277","3",,
"91.28",,"510",
"91.283","3",,
"91.286",,"510",
"91.289","2",,
"91.292",,"510",
"91.294","2",,
"91.297",,"510",
"91.3","2",,
"91.303",,"510",
"91.307","2",,
"91.31",,"510",
"91.312","2",,
"91.316",,"510",
"91.318","2",,
"91.321",,"510",
"91.324","2",,
"91.327",,"510",
"91.33","2",,
"91.333",,"510",
"91.335","2",,
"91.338",,"510",
"91.341","2",,
"91.344",,"510",
"91.347","1",,
"91.351",,"510",
"91.354","1",,
"91.357",,"510",
"91.359","1",,
"91.362",,"510",
"91.365","1",,
"91.368",,"510",
"91.371","1",,
"91.374",,"510",
"91.376","1",,
"91.38",,"510",
"91.382","1",,
"91.385",,"510",
"91.388","1",,
"91.392",,"510",
"91.395","1",,
"91.398",,"510",
"91.4","1",,
"91.403",,"510",
"91.406","0",,
"91.409",,"510",
"91.412","0",,
"91.415",,"510",
"91.418","0",,
"91.421",,"510",
"91.423","0",,
"91.426",,"510",
"91.429","0",,
"91.432",,"510",
"91.436","0",,
"91.439",,"510",
"91.441","0",,
"91.445",,"510",
"91.447","0",,
"91.45",,"510",
"91.453","0",,
"91.456",,"510",
"91.459","0",,
"91.462",,"510",
"91.464","0",,
"91.467",,"510",
"91.47","0",,
"91.473",,"510",
"91.476","0",,
"91.48",,"510",
"91.483","0",,
"91.486",,"510",
"91.488","0",,
"91.491",,"510",
"91.494","0",,
"91.497",,"510",
"91.5","0",,
"91.503",,"510",
"91.505","0",,
"91.509",,"510",
"91.511","0",,
"91.514",,"510",
"91.517","0",,
"91.521",,"510",
"91.524","1",,
"91.527",,"510",
"91.529","1",,
"91.532",,"510",
"91.535","1",,
"91.538",,"510",
"91.541","1",,
"91.544",,"510",
"91.547","1",,
"91.55",,"510",
"91.552","1",,
"91.555",,"510",
"91.558","1",,
"91.561",,"510",
"91.565","1",,
"91.568",,"510",
"91.57","1",,
"91.574",,"510",
"91.576","1",,
"91.579",,"510",
"91.582","2",,
"91.585",,"510",
"91.588","2",,
"91.591",,"509",
"91.593","2",,
"91.596",,"510",
"91.599","2",,
"91.602",,"510",
"91.606","2",,
"91.609",,"510",
"91.612","2",,
"91.615",,"510",
"91.617","2",,
"91.62",,"510",
"91.623","2",,
"91.626",,"510",
"91.629","2",,
"91.632",,"510",
"91.634","2",,
"91.638",,"510",
"91.64","3",,
"91.643",,"509",
"91.646","3",,
"91.65",,"510",
"91.653","3",,
"91.656",,"510",
"91.658","3",,
"91.661",,"510",
"91.664","3",,
"91.667",,"510",
"91.67","3",,
"91.673",,"510",
"91.676","3",,
"91.679",,"510",
"91.681","3",,
"91.684",,"510",
"91.687","3",,
"91.691",,"510",
"91.694","3",,
"91.697",,"510",
"91.699","4",,
"91.703",,"510",
"91.705","4",,
"91.708",,"510",
"91.711","4",,
"91.714",,"510",
"91.717","4",,
"91.72",,"510",
"91.722","4",,
"91.726",,"510",
"91.728","4",,
"91.731",,"510",
"91.735","4",,
"91.738",,"510",
"91.741","4",,
"91.744",,"510",
"91.746","4",,
"91.749",,"510",
"91.752","4",,
"91.755",,"510",
"91.758","5",,
"91.761",,"510",
"91.763","5",,
"91.767",,"510",
"91.769","5",,
"91.772",,"510",
"91.776","5",,
"91.779",,"510",
"91.782","5",,
"91.785",,"510",
"91.787","5",,
"91.791",,"510",
"91.793","5",,
"91.796",,"510",
"91.799","5",,
"91.802",,"510",
"91.805","5",,
"91.808",,"510",
"91.81","5",,
"91.813",,"510",
"91.816","6",,
"91.82",,"510",
"91.823","6",,
"91.826",,"509",
"91.828","6",,
"91.832",,"510",
"91.834","6",,
"91.837",,"510",
"91.84","6",,
"91.843",,"510",
"91.846","6",,
"91.849",,"510",
"91.851","6",,
"91.855",,"510",
"91.857","6",,
"91.86",,"510",
"91.864","6",,
"91.867",,"510",
"91.87","6",,
"91.873",,"510",
"91.875","7",,
"91.878",,"510",
"91.881","7",,
"91.884",,"510",
"91.887","7",,
