timestamp(ms),hall_analog,hall_mT,hall_mT_filtered,
"8.595",,"19.6","548.8",
"8.602","550","24.83","549.12",
"8.609","555","28.1","549.32",
"8.615","542","19.6","548.8",
"8.623","550","24.83","549.12",
"8.63","555","28.1","549.32",
"8.636","542","19.6","548.8",
"8.643","551","25.48","549.16",
"8.65","555","28.1","549.36",
"8.656","543","20.26","548.88",
"8.664","550","24.83","549.2",
"8.67","555","28.1","549.4",
"8.677","542","19.6","548.88",
"8.684","550","24.83","549.2",
"8.69","555","28.1","549.4",
"8.697","541","18.95","548.84",
"8.705","551","25.48","549.2",
"8.711","555","28.1","549.36",
"8.718","542","19.6","548.84",
"8.725","550","24.83","549.16",
"8.731","555","28.1","549.32",
"8.738","542","19.6","548.8",
"8.744","550","24.83","549.12",
"8.752","555","28.1","549.32",
"8.759","541","18.95","548.76",
"8.765","550","24.83","549.08",
"8.772","555","28.1","549.28",
"8.779","541","18.95","548.72",
"8.785","550","24.83","549.04",
"8.793","555","28.1","549.24",
"8.8","542","19.6","548.72",
"8.806","551","25.48","549.08",
"8.813","555","28.1","549.24",
"8.82","542","19.6","548.72",
"8.826","551","25.48","549.04",
"8.834","555","28.1","549.24",
"8.84","543","20.26","548.76",
"8.847","550","24.83","549.08",
"8.854","556","28.75","549.32",
"8.86","542","19.6","548.8",
"8.867","550","24.83","549.16",
"8.875","555","28.1","549.32",
"8.881","542","19.6","548.8",
"8.888","551","25.48","549.16",
"8.895","555","28.1","549.36",
"8.901","542","19.6","548.84",
"8.908","551","25.48","549.2",
"8.914","555","28.1","549.4",
"8.922","542","19.6","548.88",
"8.929","550","24.83","549.24",
"8.935","555","28.1","549.44",
"8.942","542","19.6","548.92",
"8.949","550","24.83","549.28",
"8.955","555","28.1","549.48",
"8.963","541","18.95","548.92",
"8.97","550","24.83","549.24",
"8.976","555","28.1","549.4",
"8.983","542","19.6","548.88",
"8.99","551","25.48","549.24",
"8.996","554","27.44","549.36",
"9.004","542","19.6","548.84",
"9.01","550","24.83","549.12",
"9.017","555","28.1","549.32",
"9.024","542","19.6","548.76",
"9.03","550","24.83","549.08",
"9.037","555","28.1","549.28",
"9.044","542","19.6","548.76",
"9.051","550","24.83","549.08",
"9.058","555","28.1","549.24",
"9.065","542","19.6","548.72",
"9.071","551","25.48","549.08",
"9.078","555","28.1","549.24",
"9.085","542","19.6","548.72",
"9.092","551","25.48","549.08",
"9.099","555","28.1","549.28",
"9.105","542","19.6","548.76",
"9.112","551","25.48","549.12",
"9.119","555","28.1","549.32",
"9.125","542","19.6","548.8",
"9.133","550","24.83","549.16",
"9.14","555","28.1","549.36",
"9.146","542","19.6","548.84",
"9.153","550","24.83","549.16",
"9.16","555","28.1","549.32",
"9.166","542","19.6","548.84",
"9.174","550","24.83","549.16",
"9.18","555","28.1","549.36",
"9.187","542","19.6","548.84",
"9.194","550","24.83","549.16",
"9.2","555","28.1","549.36",
"9.207","542","19.6","548.84",
"9.214","550","24.83","549.16",
"9.221","555","28.1","549.36",
"9.228","542","19.6","548.84",
"9.235","550","24.83","549.16",
"9.241","555","28.1","549.32",
"9.248","542","19.6","548.8",
"9.255","550","24.83","549.12",
"9.262","555","28.1","549.28",
"9.269","542","19.6","548.76",
"9.275","551","25.48","549.12",
"9.282","555","28.1","549.28",
"9.289","542","19.6","548.76",
"9.295","550","24.83","549.08",
"9.303","555","28.1","549.28",
"9.31","542","19.6","548.76",
"9.316","550","24.83","549.08",
"9.323","555","28.1","549.28",
"9.33","542","19.6","548.76",
"9.336","550","24.83","549.08",
"9.344","556","28.75","549.32",
"9.35","542","19.6","548.8",
"9.357","551","25.48","549.16",
"9.364","555","28.1","549.36",
"9.37","542","19.6","548.84",
"9.377","551","25.48","549.2",
"9.384","556","28.75","549.44",
"9.391","542","19.6","548.92",
"9.398","550","24.83","549.24",
"9.405","555","28.1","549.44",
"9.411","542","19.6","548.92",
"9.418","550","24.83","549.24",
"9.425","555","28.1","549.44",
"9.432","542","19.6","548.92",
"9.439","550","24.83","549.24",
"9.445","555","28.1","549.4",
"9.452","542","19.6","548.88",
"9.459","551","25.48","549.24",
"9.465","555","28.1","549.44",
"9.473","542","19.6","548.92",
"9.48","550","24.83","549.24",
"9.486","554","27.44","549.4",
"9.493","542","19.6","548.88",
"9.5","550","24.83","549.2",
"9.506","555","28.1","549.4",
"9.513","542","19.6","548.84",
"9.521","550","24.83","549.16",
"9.527","555","28.1","549.32",
"9.534","542","19.6","548.8",
"9.54","550","24.83","549.12",
"9.547","555","28.1","549.28",
"9.554","542","19.6","548.72",
"9.561","550","24.83","549.04",
"9.568","555","28.1","549.24",
"9.575","542","19.6","548.72",
"9.581","550","24.83","549.04",
"9.588","555","28.1","549.24",
"9.595","542","19.6","548.72",
"9.602","551","25.48","549.08",
"9.609","555","28.1","549.28",
"9.615","542","19.6","548.76",
"9.622","550","24.83","549.08",
"9.629","556","28.75","549.28",
"9.635","542","19.6","548.76",
"9.643","551","25.48","549.12",
"9.65","555","28.1","549.32",
"9.656","542","19.6","548.84",
"9.663","550","24.83","549.16",
"9.67","555","28.1","549.36",
"9.676","542","19.6","548.84",
"9.683","550","24.83","549.16",
"9.691","554","27.44","549.32",
"9.697","542","19.6","548.8",
"9.704","550","24.83","549.12",
"9.71","555","28.1","549.32",
"9.717","542","19.6","548.8",
"9.724","550","24.83","549.12",
"9.731","555","28.1","549.32",
"9.738","542","19.6","548.8",
"9.745","550","24.83","549.12",
"9.751","555","28.1","549.32",
"9.758","542","19.6","548.8",
"9.765","550","24.83","549.12",
"9.772","555","28.1","549.28",
"9.779","542","19.6","548.76",
"9.785","551","25.48","549.12",
"9.792","555","28.1","549.32",
"9.799","542","19.6","548.76",
"9.805","550","24.83","549.08",
"9.812","555","28.1","549.24",
"9.82","542","19.6","548.72",
"9.826","551","25.48","549.08",
"9.833","555","28.1","549.28",
"9.84","542","19.6","548.76",
"9.846","550","24.83","549.08",
"9.853","555","28.1","549.28",
"9.861","542","19.6","548.8",
"9.867","550","24.83","549.12",
"9.874","555","28.1","549.32",
"9.88","542","19.6","548.8",
"9.887","551","25.48","549.16",
"9.894","555","28.1","549.36",
"9.901","542","19.6","548.84",
"9.908","550","24.83","549.16",
"9.915","555","28.1","549.36",
"9.921","542","19.6","548.84",
"9.928","550","24.83","549.16",
"9.935","555","28.1","549.36",
"9.942","542","19.6","548.84",
"9.949","550","24.83","549.16",
"9.956","555","28.1","549.32",
"9.962","542","19.6","548.8",
"9.969","550","24.83","549.12",
"9.975","555","28.1","549.32",
"9.982","542","19.6","548.8",
"9.99","550","24.83","549.12",
"9.996","555","28.1","549.28",
"10.003","542","19.6","548.76",
"10.01","553","26.79","549.2",
"10.017","539","17.64","548.76",
"10.024","551","25.48","548.6",
"10.032","540","18.3","548.52",
"10.038","550","24.83","548.52",
"10.045","548","23.52","548.24",
"10.052","547","22.87","548.44",
"10.059","555","28.1","548.6",
"10.066","546","22.22","548.24",
"10.074","556","28.75","548.8",
"10.081","543","20.26","548.52",
"10.088","554","27.44","548.48",
"10.095","540","18.3","548.4",
"10.101","552","26.14","548.48",
"10.108","538","16.99","547.8",
"10.116","550","24.83","548.12",
"10.123","544","20.91","547.88",
"10.13","548","23.52","547.6",
"10.137","551","25.48","547.96",
"10.144","546","22.22","547.8",
"10.151","556","28.75","547.84",
"10.159","544","20.91","547.92",
"10.165","555","28.1","548.12",
"10.172","542","19.6","547.6",
"10.179","553","26.79","548.04",
"10.186","539","17.64","547.48",
"10.193","551","25.48","547.96",
"10.201","540","18.3","547.52",
"10.208","549","24.18","547.88",
"10.215","547","22.87","547.76",
"10.222","548","23.52","547.76",
"10.228","555","28.1","548.08",
"10.235","545","21.56","547.68",
"10.243","556","28.75","548.08",
"10.25","543","20.26","547.56",
"10.257","554","27.44","548",
"10.264","541","18.95","547.48",
"10.271","553","26.79","548",
"10.278","538","16.99","547.44",
"10.286","550","24.83","547.92",
"10.292","544","20.91","547.68",
"10.299","549","24.18","547.88",
"10.306","551","25.48","548",
"10.313","546","22.22","547.8",
"10.32","556","28.75","548.2",
"10.328","544","20.91","547.72",
"10.335","555","28.1","548.16",
"10.342","542","19.6","547.64",
"10.349","553","26.79","548.08",
"10.355","539","17.64","547.52",
"10.362","551","25.48","548",
"10.37","541","18.95","547.6",
"10.377","550","24.83","548",
"10.384","548","23.52","547.96",
"10.391","548","23.52","548",
"10.398","556","28.75","548.32",
"10.405","546","22.22","547.96",
"10.413","556","28.75","548.4",
"10.419","543","20.26","547.88",
"10.426","554","27.44","548.32",
"10.433","540","18.3","547.76",
"10.44","552","26.14","548.2",
"10.447","538","16.99","547.6",
"10.455","551","25.48","548.12",
"10.462","543","20.26","547.84",
"10.469","548","23.52","548",
"10.476","552","26.14","548.12",
"10.482","546","22.22","547.92",
"10.489","556","28.75","548.32",
"10.497","544","20.91","547.84",
"10.504","555","28.1","548.28",
"10.511","542","19.6","547.76",
"10.518","553","26.79","548.2",
"10.525","539","17.64","547.64",
"10.532","551","25.48","548.12",
"10.54","540","18.3","547.68",
"10.546","550","24.83","548.04",
"10.553","547","22.87","547.92",
"10.56","547","22.87","547.88",
"10.567","555","28.1","548.16",
"10.574","546","22.22","547.76",
"10.582","555","28.1","548.12",
"10.589","543","20.26","547.6",
"10.596","554","27.44","548.04",
"10.603","540","18.3","547.48",
"10.61","553","26.79","548",
"10.616","538","16.99","547.44",
"10.624","551","25.48","547.96",
"10.631","544","20.91","547.68",
"10.638","548","23.52","547.88",
"10.645","551","25.48","548",
"10.652","546","22.22","547.76",
"10.659","556","28.75","548.16",
"10.667","544","20.91","547.68",
"10.674","555","28.1","548.12",
"10.68","542","19.6","547.6",
"10.687","553","26.79","548.04",
"10.694","539","17.64","547.48",
"10.701","551","25.48","547.96",
"10.708","540","18.3","547.52",
"10.716","549","24.18","547.88",
"10.723","547","22.87","547.76",
"10.73","547","22.87","547.76",
"10.737","555","28.1","548.08",
"10.743","545","21.56","547.68",
"10.75","556","28.75","548.08",
"10.758","543","20.26","547.6",
"10.765","554","27.44","548.04",
"10.772","540","18.3","547.48",
"10.779","553","26.79","548",
"10.786","538","16.99","547.4",
"10.793","550","24.83","547.88",
"10.801","544","20.91","547.6",
"10.807","548","23.52","547.76",
"10.814","551","25.48","547.88",
"10.821","546","22.22","547.68",
"10.828","556","28.75","548.08",
"10.835","544","20.91","547.6",
"10.843","555","28.1","548.04",
"10.85","542","19.6","547.52",
"10.857","553","26.79","547.96",
"10.864","539","17.64","547.4",
"10.87","551","25.48","547.88",
"10.877","540","18.3","547.44",
"10.885","549","24.18","547.8",
"10.892","548","23.52","547.76",
"10.899","548","23.52","547.8",
"10.906","555","28.1","548.12",
"10.913","545","21.56","547.72",
"10.92","556","28.75","548.16",
"10.928","543","20.26","547.64",
"10.934","554","27.44","548.08",
"10.941","540","18.3","547.52",
"10.948","552","26.14","548",
"10.955","538","16.99","547.4",
"10.962","550","24.83","547.88",
"10.97","544","20.91","547.64",
"10.977","548","23.52","547.8",
"10.984","551","25.48","547.92",
"10.991","546","22.22","547.72",
"10.997","556","28.75","548.12",
"11.004","544","20.91","547.64",
"11.012","555","28.1","548.08",
"11.019","542","19.6","547.56",
"11.026","553","26.79","548",
"11.033","539","17.64","547.44",
"11.04","552","26.14","547.96",
"11.047","540","18.3","547.52",
"11.055","549","24.18","547.88",
"11.061","547","22.87","547.8",
"11.068","548","23.52","547.8",
"11.075","556","28.75","548.12",
"11.082","545","21.56","547.72",
"11.089","556","28.75","548.16",
"11.097","543","20.26","547.64",
"11.104","554","27.44","548.08",
"11.111","540","18.3","547.52",
"11.118","552","26.14","548",
"11.124","537","16.33","547.4",
"11.131","551","25.48","547.92",
"11.139","544","20.91","547.68",
"11.146","549","24.18","547.88",
"11.153","551","25.48","548",
"11.16","546","22.22","547.8",
"11.167","556","28.75","548.2",
"11.174","544","20.91","547.72",
"11.182","555","28.1","548.16",
"11.188","542","19.6","547.64",
"11.195","554","27.44","548.12",
"11.202","539","17.64","547.56",
"11.209","551","25.48","548.04",
"11.216","540","18.3","547.56",
"11.224","549","24.18","547.92",
"11.231","547","22.87","547.84",
"11.238","547","22.87","547.84",
"11.245","555","28.1","548.12",
"11.251","545","21.56","547.68",
"11.258","555","28.1","548.08",
"11.266","543","20.26","547.56",
"11.273","554","27.44","548",
"11.28","540","18.3","547.44",
"11.287","552","26.14","547.92",
"11.294","538","16.99","547.36",
"11.301","551","25.48","547.92",
"11.309","544","20.91","547.64",
"11.315","549","24.18","547.84",
"11.322","551","25.48","547.92",
"11.329","547","22.87","547.76",
"11.336","556","28.75","548.16",
"11.343","544","20.91","547.68",
"11.351","555","28.1","548.12",
"11.358","542","19.6","547.6",
"11.365","553","26.79","548.04",
"11.372","539","17.64","547.44",
"11.378","551","25.48","547.92",
"11.385","540","18.3","547.48",
"11.393","549","24.18","547.84",
"11.4","547","22.87","547.76",
"11.407","547","22.87","547.76",
"11.414","554","27.44","548.04",
"11.421","545","21.56","547.64",
"11.428","555","28.1","548.04",
"11.436","543","20.26","547.56",
"11.442","554","27.44","548",
"11.449","540","18.3","547.44",
"11.456","552","26.14","547.92",
"11.463","538","16.99","547.36",
"11.47","550","24.83","547.84",
"11.478","544","20.91","547.56",
"11.485","549","24.18","547.76",
"11.492","551","25.48","547.84",
"11.499","546","22.22","547.64",
"11.505","557","29.4","548.04",
"11.512","544","20.91","547.56",
"11.52","555","28.1","548",
"11.527","542","19.6","547.48",
"11.534","553","26.79","547.92",
"11.541","539","17.64","547.36",
"11.548","551","25.48","547.84",
"11.555","540","18.3","547.4",
"11.563","549","24.18","547.76",
"11.569","547","22.87","547.68",
"11.576","547","22.87","547.68",
"11.583","555","28.1","548",
"11.59","545","21.56","547.64",
"11.597","555","28.1","548.04",
"11.604","543","20.26","547.56",
"11.612","554","27.44","548",
"11.619","540","18.3","547.44",
"11.626","552","26.14","547.92",
"11.633","538","16.99","547.36",
"11.639","550","24.83","547.84",
"11.646","544","20.91","547.6",
"11.654","548","23.52","547.76",
"11.661","551","25.48","547.84",
"11.668","546","22.22","547.64",
"11.675","556","28.75","548.04",
"11.682","544","20.91","547.52",
"11.689","555","28.1","547.96",
"11.697","542","19.6","547.44",
"11.703","553","26.79","547.88",
"11.71","539","17.64","547.32",
"11.717","551","25.48","547.8",
"11.724","541","18.95","547.4",
"11.731","549","24.18","547.76",
"11.739","547","22.87","547.68",
"11.746","547","22.87","547.68",
"11.753","556","28.75","548.04",
"11.76","546","22.22","547.68",
"11.766","556","28.75","548.12",
"11.773","543","20.26","547.64",
"11.781","554","27.44","548.08",
"11.788","540","18.3","547.52",
"11.795","552","26.14","548",
"11.802","538","16.99","547.44",
"11.809","550","24.83","547.92",
"11.816","544","20.91","547.68",
"11.824","549","24.18","547.88",
"11.83","551","25.48","548",
"11.837","546","22.22","547.8",
"11.844","556","28.75","548.2",
"11.851","544","20.91","547.72",
"11.858","555","28.1","548.16",
"11.866","542","19.6","547.64",
"11.873","553","26.79","548.08",
"11.88","539","17.64","547.52",
"11.887","551","25.48","548",
"11.893","541","18.95","547.6",
"11.9","550","24.83","547.96",
"11.908","547","22.87","547.88",
"11.915","548","23.52","547.92",
"11.922","555","28.1","548.24",
"11.929","545","21.56","547.8",
"11.936","556","28.75","548.2",
"11.943","543","20.26","547.68",
"11.951","554","27.44","548.12",
"11.957","541","18.95","547.6",
"11.964","552","26.14","548.08",
"11.971","538","16.99","547.52",
"11.978","550","24.83","548",
"11.985","544","20.91","547.76",
"11.993","549","24.18","547.96",
"12","551","25.48","548.04",
"12.007","546","22.22","547.84",
"12.014","557","29.4","548.28",
"12.02","545","21.56","547.84",
"12.027","555","28.1","548.28",
"12.035","542","19.6","547.76",
"12.042","553","26.79","548.2",
"12.049","540","18.3","547.68",
"12.056","551","25.48","548.16",
"12.063","541","18.95","547.76",
"12.07","550","24.83","548.12",
"12.078","547","22.87","548",
"12.084","548","23.52","548.04",
"12.091","556","28.75","548.36",
"12.098","546","22.22","548",
"12.105","556","28.75","548.44",
"12.112","544","20.91","547.96",
"12.12","555","28.1","548.44",
"12.127","541","18.95","547.92",
"12.134","553","26.79","548.4",
"12.141","539","17.64","547.88",
"12.147","551","25.48","548.4",
"12.154","544","20.91","548.16",
"12.162","549","24.18","548.36",
"12.169","552","26.14","548.48",
"12.176","547","22.87","548.32",
"12.183","557","29.4","548.76",
"12.19","545","21.56","548.28",
"12.197","556","28.75","548.72",
"12.205","542","19.6","548.2",
"12.211","554","27.44","548.68",
"12.218","539","17.64","548.12",
"12.225","552","26.14","548.6",
"12.232","541","18.95","548.2",
"12.239","550","24.83","548.56",
"12.247","547","22.87","548.44",
"12.254","549","24.18","548.52",
"12.261","556","28.75","548.84",
"12.268","546","22.22","548.44",
"12.274","556","28.75","548.84",
"12.281","544","20.91","548.36",
"12.289","555","28.1","548.8",
"12.296","541","18.95","548.24",
"12.303","553","26.79","548.72",
"12.31","539","17.64","548.16",
"12.317","552","26.14","548.68",
"12.324","545","21.56","548.44",
"12.332","549","24.18","548.64",
"12.338","552","26.14","548.76",
"12.345","547","22.87","548.56",
"12.352","557","29.4","548.96",
"12.359","545","21.56","548.48",
"12.366","555","28.1","548.88",
"12.374","543","20.26","548.36",
"12.381","554","27.44","548.84",
"12.388","540","18.3","548.28",
"12.395","552","26.14","548.8",
"12.401","541","18.95","548.36",
"12.408","550","24.83","548.72",
"12.416","548","23.52","548.64",
"12.423","549","24.18","548.72",
"12.43","556","28.75","549",
"12.437","546","22.22","548.6",
"12.444","556","28.75","549",
"12.451","544","20.91","548.52",
"12.459","555","28.1","548.96",
"12.465","542","19.6","548.44",
"12.472","553","26.79","548.92",
"12.479","539","17.64","548.36",
"12.486","552","26.14","548.88",
"12.493","545","21.56","548.6",
"12.5","550","24.83","548.8",
"12.508","553","26.79","548.96",
"12.515","548","23.52","548.8",
"12.522","558","30.06","549.24",
"12.528","546","22.22","548.8",
"12.535","557","29.4","549.28",
"12.542","543","20.26","548.8",
"12.55","555","28.1","549.28",
"12.557","541","18.95","548.76",
"12.564","553","26.79","549.28",
"12.571","542","19.6","548.88",
"12.578","551","25.48","549.28",
"12.585","550","24.83","549.28",
"12.592","550","24.83","549.36",
"12.599","557","29.4","549.68",
"12.606","548","23.52","549.36",
"12.613","558","30.06","549.84",
"12.62","545","21.56","549.4",
"12.627","556","28.75","549.88",
"12.635","543","20.26","549.4",
"12.642","555","28.1","549.92",
"12.649","541","18.95","549.44",
"12.656","553","26.79","550",
"12.662","547","22.87","549.8",
"12.669","552","26.14","550.08",
"12.677","555","28.1","550.28",
"12.684","549","24.18","550.12",
"12.691","560","31.36","550.6",
"12.698","548","23.52","550.2",
"12.705","558","30.06","550.68",
"12.712","545","21.56","550.2",
"12.72","556","28.75","550.72",
"12.726","542","19.6","550.2",
"12.733","554","27.44","550.72",
"12.74","543","20.26","550.32",
"12.747","552","26.14","550.72",
"12.754","550","24.83","550.68",
"12.762","550","24.83","550.68",
"12.769","558","30.06","551",
"12.776","549","24.18","550.68",
"12.783","559","30.71","551.12",
"12.789","547","22.87","550.68",
"12.796","557","29.4","551.16",
"12.804","544","20.91","550.68",
"12.811","556","28.75","551.2",
"12.818","542","19.6","550.68",
"12.825","554","27.44","551.2",
"12.832","547","22.87","550.96",
"12.839","552","26.14","551.16",
"12.847","554","27.44","551.24",
"12.853","550","24.83","551.04",
"12.86","559","30.71","551.44",
"12.867","548","23.52","550.96",
"12.874","558","30.06","551.36",
"12.881","545","21.56","550.84",
"12.889","557","29.4","551.32",
"12.896","543","20.26","550.8",
"12.903","555","28.1","551.32",
"12.91","543","20.26","550.88",
"12.916","553","26.79","551.28",
"12.923","550","24.83","551.2",
"12.931","551","25.48","551.24",
"12.938","558","30.06","551.56",
"12.945","549","24.18","551.2",
"12.952","559","30.71","551.6",
"12.959","546","22.22","551.08",
"12.966","558","30.06","551.52",
"12.974","544","20.91","551",
"12.98","555","28.1","551.44",
"12.987","541","18.95","550.84",
"12.994","554","27.44","551.32",
"13.001","547","22.87","551.04",
"13.008","552","26.14","551.24",
"13.016","555","28.1","551.36",
"13.023","550","24.83","551.2",
"13.03","560","31.36","551.6",
"13.037","548","23.52","551.16",
"13.043","559","30.71","551.6",
"13.05","546","22.22","551.12",
"13.058","557","29.4","551.6",
"13.065","543","20.26","551.04",
"13.072","555","28.1","551.52",
"13.079","544","20.91","551.08",
"13.086","553","26.79","551.48",
"13.093","551","25.48","551.4",
"13.101","551","25.48","551.44",
"13.107","559","30.71","551.76",
"13.114","549","24.18","551.4",
"13.121","560","31.36","551.84",
"13.128","547","22.87","551.36",
"13.135","558","30.06","551.84",
"13.143","545","21.56","551.32",
"13.15","557","29.4","551.84",
"13.157","542","19.6","551.32",
"13.164","555","28.1","551.88",
"13.17","548","23.52","551.64",
"13.177","553","26.79","551.88",
"13.185","556","28.75","552.04",
"13.192","551","25.48","551.88",
"13.199","561","32.02","552.32",
"13.206","549","24.18","551.88",
"13.213","560","31.36","552.36",
"13.22","548","23.52","551.92",
"13.228","559","30.71","552.44",
"13.234","545","21.56","551.96",
"13.241","557","29.4","552.52",
"13.248","546","22.22","552.16",
"13.255","556","28.75","552.64",
"13.262","553","26.79","552.64",
"13.27","553","26.79","552.72",
"13.277","561","32.02","553.12",
"13.284","551","25.48","552.8",
"13.291","561","32.02","553.28",
"13.297","549","24.18","552.84",
"13.304","560","31.36","553.36",
"13.312","547","22.87","552.92",
"13.319","558","30.06","553.44",
"13.326","544","20.91","552.92",
"13.333","556","28.75","553.48",
"13.34","550","24.83","553.28",
"13.347","555","28.1","553.56",
"13.355","557","29.4","553.72",
"13.361","553","26.79","553.6",
"13.368","562","32.67","554.04",
"13.375","550","24.83","553.6",
"13.382","561","32.02","554.08",
"13.389","548","23.52","553.6",
"13.396","560","31.36","554.08",
"13.404","546","22.22","553.56",
"13.411","558","30.06","554.08",
"13.418","547","22.87","553.68",
"13.424","557","29.4","554.12",
"13.431","554","27.44","554.04",
"13.438","555","28.1","554.12",
"13.446","562","32.67","554.48",
"13.453","553","26.79","554.16",
"13.46","563","33.32","554.64",
"13.467","551","25.48","554.24",
"13.474","562","32.67","554.76",
"13.481","548","23.52","554.28",
"13.488","560","31.36","554.8",
"13.495","546","22.22","554.32",
"13.502","559","30.71","554.92",
"13.509","552","26.14","554.76",
"13.516","556","28.75","555",
"13.523","560","31.36","555.2",
"13.531","555","28.1","555.12",
"13.538","565","34.63","555.6",
"13.545","553","26.79","555.24",
"13.551","564","33.98","555.8",
"13.558","551","25.48","555.4",
"13.565","563","33.32","556",
"13.573","549","24.18","555.56",
"13.58","561","32.02","556.16",
"13.587","550","24.83","555.84",
"13.594","560","31.36","556.36",
"13.601","558","30.06","556.4",
"13.608","558","30.06","556.56",
"13.615","565","34.63","556.96",
"13.622","556","28.75","556.72",
"13.629","567","35.94","557.28",
"13.636","554","27.44","556.92",
"13.643","565","34.63","557.48",
"13.65","552","26.14","557.08",
"13.658","564","33.98","557.72",
"13.665","549","24.18","557.28",
"13.672","562","32.67","557.92",
"13.679","555","28.1","557.76",
"13.685","560","31.36","558.08",
"13.692","564","33.98","558.4",
"13.7","559","30.71","558.36",
"13.707","568","36.59","558.88",
"13.714","556","28.75","558.52",
"13.721","567","35.94","559.08",
"13.728","554","27.44","558.68",
"13.735","566","35.28","559.28",
"13.743","552","26.14","558.84",
"13.749","564","33.98","559.44",
"13.756","553","26.79","559.12",
"13.763","563","33.32","559.64",
"13.77","560","31.36","559.64",
"13.777","560","31.36","559.72",
"13.785","568","36.59","560.12",
"13.792","558","30.06","559.84",
"13.799","569","37.24","560.36",
"13.806","556","28.75","559.92",
"13.812","567","35.94","560.44",
"13.819","554","27.44","560",
"13.827","566","35.28","560.56",
"13.834","551","25.48","560.04",
"13.841","564","33.98","560.64",
"13.848","557","29.4","560.44",
"13.855","562","32.67","560.72",
"13.862","565","34.63","560.92",
"13.87","560","31.36","560.76",
"13.876","571","38.55","561.24",
"13.883","558","30.06","560.84",
"13.89","569","37.24","561.36",
"13.897","556","28.75","560.92",
"13.904","567","35.94","561.44",
"13.912","554","27.44","560.96",
"13.919","566","35.28","561.52",
"13.926","555","28.1","561.16",
"13.933","564","33.98","561.6",
"13.939","562","32.67","561.56",
"13.946","562","32.67","561.64",
"13.954","570","37.9","562.04",
"13.961","561","32.02","561.76",
"13.968","571","38.55","562.28",
"13.975","558","30.06","561.84",
"13.982","570","37.9","562.4",
"13.989","556","28.75","561.96",
"13.997","568","36.59","562.52",
"14.003","554","27.44","562.04",
"14.01","567","35.94","562.68",
"14.017","560","31.36","562.52",
"14.024","565","34.63","562.84",
"14.031","568","36.59","563.08",
"14.039","564","33.98","563.04",
"14.046","574","40.51","563.6",
"14.053","561","32.02","563.2",
"14.06","572","39.2","563.76",
"14.066","559","30.71","563.36",
"14.073","571","38.55","563.96",
"14.081","557","29.4","563.56",
"14.088","570","37.9","564.2",
"14.095","559","30.71","563.92",
"14.102","568","36.59","564.44",
"14.109","566","35.28","564.52",
"14.116","566","35.28","564.68",
"14.124","573","39.86","565.12",
"14.13","564","33.98","564.88",
"14.137","574","40.51","565.4",
"14.144","561","32.02","565",
"14.151","572","39.2","565.56",
"14.158","559","30.71","565.12",
"14.166","570","37.9","565.68",
"14.173","556","28.75","565.2",
"14.18","568","36.59","565.76",
"14.187","561","32.02","565.52",
"14.193","566","35.28","565.76",
"14.2","568","36.59","565.88",
"14.208","563","33.32","565.68",
"14.215","574","40.51","566.08",
"14.222","561","32.02","565.56",
"14.229","572","39.2","566",
"14.236","559","30.71","565.48",
"14.243","570","37.9","565.92",
"14.251","556","28.75","565.32",
"14.257","568","36.59","565.76",
"14.264","557","29.4","565.24",
"14.271","566","35.28","565.52",
"14.278","564","33.98","565.36",
"14.285","565","34.63","565.32",
"14.292","572","39.2","565.56",
"14.3","562","32.67","565.12",
"14.307","573","39.86","565.48",
"14.314","560","31.36","564.92",
"14.32","571","38.55","565.32",
"14.327","557","29.4","564.72",
"14.334","569","37.24","565.12",
"14.342","555","28.1","564.52",
"14.349","567","35.94","564.96",
"14.356","560","31.36","564.64",
"14.363","565","34.63","564.8",
"14.37","568","36.59","564.88",
"14.377","563","33.32","564.68",
"14.384","573","39.86","565.08",
"14.391","560","31.36","564.52",
"14.398","571","38.55","564.92",
"14.405","558","30.06","564.36",
"14.412","570","37.9","564.8",
"14.419","556","28.75","564.24",
"14.427","567","35.94","564.68",
"14.434","556","28.75","564.2",
"14.441","566","35.28","564.56",
"14.447","564","33.98","564.48",
"14.454","564","33.98","564.48",
"14.461","571","38.55","564.72",
"14.469","562","32.67","564.32",
"14.476","573","39.86","564.76",
"14.483","560","31.36","564.24",
"14.49","571","38.55","564.68",
"14.497","557","29.4","564.12",
"14.504","569","37.24","564.6",
"14.511","555","28.1","564.04",
"14.518","567","35.94","564.52",
"14.525","561","32.02","564.28",
"14.532","566","35.28","564.52",
"14.539","568","36.59","564.64",
"14.546","563","33.32","564.44",
"14.554","573","39.86","564.84",
"14.561","561","32.02","564.36",
"14.568","572","39.2","564.84",
"14.574","559","30.71","564.36",
"14.581","570","37.9","564.84",
"14.588","556","28.75","564.28",
"14.596","569","37.24","564.8",
"14.603","557","29.4","564.4",
"14.61","566","35.28","564.8",
"14.617","565","34.63","564.76",
"14.624","564","33.98","564.76",
"14.631","573","39.86","565.12",
"14.638","563","33.32","564.8",
"14.645","573","39.86","565.24",
"14.652","560","31.36","564.72",
"14.659","571","38.55","565.16",
"14.666","558","30.06","564.64",
"14.673","570","37.9","565.16",
"14.681","556","28.75","564.64",
"14.688","568","36.59","565.16",
"14.695","561","32.02","564.92",
"14.702","566","35.28","565.12",
"14.708","569","37.24","565.24",
"14.715","564","33.98","565.08",
"14.723","574","40.51","565.52",
