timestamp(ms),Hall analog (raw),Solenoid value (0-255),
"0.833","510",,
"0.836",,"8",
"0.838","510",,
"0.841",,"8",
"0.843","510",,
"0.846",,"8",
"0.848","510",,
"0.851",,"8",
"0.854","510",,
"0.857",,"8",
"0.859","510",,
"0.861",,"8",
"0.864","510",,
"0.866",,"8",
"0.868","510",,
"0.871",,"8",
"0.873","510",,
"0.876",,"8",
"0.878","510",,
"0.881",,"8",
"0.883","510",,
"0.886",,"8",
"0.888","511",,
"0.891",,"8",
"0.893","510",,
"0.897",,"8",
"0.899","510",,
"0.902",,"9",
"0.904","510",,
"0.906",,"9",
"0.909","510",,
"0.911",,"9",
"0.914","510",,
"0.916",,"9",
"0.918","510",,
"0.921",,"9",
"0.923","510",,
"0.926",,"9",
"0.928","510",,
"0.931",,"9",
"0.933","510",,
"0.936",,"9",
"0.939","510",,
"0.942",,"9",
"0.944","510",,
"0.947",,"9",
"0.949","510",,
"0.952",,"9",
"0.954","510",,
"0.956",,"9",
"0.959","510",,
"0.961",,"9",
"0.964","510",,
"0.966",,"9",
"0.968","510",,
"0.971",,"9",
"0.973","510",,
"0.976",,"9",
"0.978","510",,
"0.982",,"9",
"0.984","511",,
"0.987",,"9",
"0.989","510",,
"0.992",,"9",
"0.994","510",,
"0.997",,"9",
"0.999","510",,
"1.002",,"10",
"1.004","510",,
"1.007",,"10",
"1.009","510",,
"1.012",,"10",
"1.014","510",,
"1.017",,"10",
"1.019","510",,
"1.022",,"10",
"1.025","510",,
"1.028",,"10",
"1.031","510",,
"1.033",,"10",
"1.036","510",,
"1.039",,"10",
"1.041","510",,
"1.044",,"10",
"1.046","510",,
"1.049",,"10",
"1.051","510",,
"1.054",,"10",
"1.056","510",,
"1.059",,"10",
"1.061","510",,
"1.064",,"10",
"1.068","510",,
"1.07",,"10",
"1.073","510",,
"1.076",,"10",
"1.078","510",,
"1.081",,"10",
"1.083","511",,
"1.086",,"10",
"1.088","510",,
"1.091",,"10",
"1.093","510",,
"1.096",,"10",
"1.098","510",,
"1.101",,"10",
"1.104","510",,
"1.106",,"11",
"1.11","510",,
"1.113",,"11",
"1.115","510",,
"1.118",,"11",
"1.12","511",,
"1.123",,"11",
"1.125","510",,
"1.128",,"11",
"1.13","510",,
"1.133",,"11",
"1.136","510",,
"1.138",,"11",
"1.141","510",,
"1.143",,"11",
"1.146","510",,
"1.149",,"11",
"1.152","510",,
"1.155",,"11",
"1.157","510",,
"1.16",,"11",
"1.162","510",,
"1.165",,"11",
"1.167","510",,
"1.17",,"11",
"1.173","509",,
"1.175",,"11",
"1.178","510",,
"1.181",,"11",
"1.183","510",,
"1.186",,"11",
"1.188","510",,
"1.191",,"11",
"1.193","510",,
"1.197",,"11",
"1.199","510",,
"1.202",,"11",
"1.204","510",,
"1.207",,"11",
"1.21","510",,
"1.212",,"12",
"1.215","510",,
"1.218",,"12",
"1.22","510",,
"1.223",,"12",
"1.225","510",,
"1.228",,"12",
"1.23","510",,
"1.233",,"12",
"1.235","510",,
"1.239",,"12",
"1.241","510",,
"1.244",,"12",
"1.247","510",,
"1.249",,"12",
"1.252","510",,
"1.255",,"12",
"1.257","509",,
"1.26",,"12",
"1.262","510",,
"1.265",,"12",
"1.267","510",,
"1.27",,"12",
"1.272","510",,
"1.275",,"12",
"1.277","510",,
"1.281",,"12",
"1.284","510",,
"1.286",,"12",
"1.289","510",,
"1.292",,"12",
"1.294","510",,
"1.297",,"12",
"1.299","510",,
"1.302",,"12",
"1.304","510",,
"1.307",,"12",
"1.309","510",,
"1.312",,"12",
"1.314","510",,
"1.317",,"13",
"1.32","510",,
"1.323",,"13",
"1.326","510",,
"1.329",,"13",
"1.331","510",,
"1.334",,"13",
"1.336","510",,
"1.339",,"13",
"1.341","510",,
"1.344",,"13",
"1.346","510",,
"1.349",,"13",
"1.352","510",,
"1.354",,"13",
"1.357","510",,
"1.359",,"13",
"1.362","510",,
"1.366",,"13",
"1.368","510",,
"1.371",,"13",
"1.373","511",,
"1.376",,"13",
"1.378","510",,
"1.381",,"13",
"1.383","510",,
"1.386",,"13",
"1.389","510",,
"1.391",,"13",
"1.394","510",,
"1.397",,"13",
"1.399","510",,
"1.402",,"13",
"1.404","510",,
"1.408",,"13",
"1.41","510",,
"1.413",,"13",
"1.415","510",,
"1.418",,"13",
"1.42","510",,
"1.423",,"14",
"1.426","510",,
"1.428",,"14",
"1.431","510",,
"1.434",,"14",
"1.436","510",,
"1.439",,"14",
"1.441","510",,
"1.444",,"14",
"1.446","510",,
"1.449",,"14",
"1.452","510",,
"1.455",,"14",
"1.457","510",,
"1.46",,"14",
"1.463","510",,
"1.465",,"14",
"1.468","510",,
"1.471",,"14",
"1.473","510",,
"1.476",,"14",
"1.478","510",,
"1.481",,"14",
"1.483","510",,
"1.486",,"14",
"1.488","510",,
"1.491",,"14",
"1.494","510",,
"1.497",,"14",
"1.5","510",,
"1.502",,"14",
"1.505","510",,
"1.508",,"14",
"1.51","510",,
"1.513",,"14",
"1.515","511",,
"1.518",,"14",
"1.52","510",,
"1.523",,"14",
"1.525","510",,
"1.528",,"15",
"1.531","510",,
"1.533",,"15",
"1.537","510",,
"1.539",,"15",
"1.542","510",,
"1.545",,"15",
"1.547","510",,
"1.55",,"15",
"1.552","511",,
"1.555",,"15",
"1.557","510",,
"1.56",,"15",
"1.562","510",,
"1.565",,"15",
"1.568","510",,
"1.57",,"15",
"1.573","510",,
"1.575",,"15",
"1.579","510",,
"1.582",,"15",
"1.584","510",,
"1.587",,"15",
"1.589","511",,
"1.592",,"15",
"1.594","510",,
"1.597",,"15",
"1.599","510",,
"1.602",,"15",
"1.605","510",,
"1.607",,"15",
"1.61","510",,
"1.613",,"15",
"1.615","510",,
"1.618",,"15",
"1.62","510",,
"1.624",,"15",
"1.626","511",,
"1.629",,"15",
"1.631","510",,
"1.634",,"16",
"1.636","510",,
"1.639",,"16",
"1.642","510",,
"1.644",,"16",
"1.647","510",,
"1.65",,"16",
"1.652","510",,
"1.655",,"16",
"1.657","510",,
"1.66",,"16",
"1.662","510",,
"1.666",,"16",
"1.668","510",,
"1.671",,"16",
"1.673","510",,
"1.676",,"16",
"1.679","510",,
"1.681",,"16",
"1.684","510",,
"1.687",,"16",
"1.689","510",,
"1.692",,"16",
"1.694","511",,
"1.697",,"16",
"1.699","510",,
"1.702",,"16",
"1.704","510",,
"1.708",,"16",
"1.71","510",,
"1.713",,"16",
"1.716","510",,
"1.718",,"16",
"1.721","510",,
"1.724",,"16",
"1.726","510",,
"1.729",,"16",
"1.731","511",,
"1.734",,"16",
"1.736","510",,
"1.739",,"17",
"1.741","510",,
"1.744",,"17",
"1.747","510",,
"1.75",,"17",
"1.753","510",,
"1.755",,"17",
"1.758","509",,
"1.761",,"17",
"1.763","510",,
"1.766",,"17",
"1.768","512",,
"1.771",,"17",
"1.773","510",,
"1.776",,"17",
"1.778","510",,
"1.781",,"17",
"1.784","510",,
"1.786",,"17",
"1.789","510",,
"1.793",,"17",
"1.795","510",,
"1.798",,"17",
"1.8","510",,
"1.803",,"17",
"1.805","512",,
"1.808",,"17",
"1.81","510",,
"1.813",,"17",
"1.815","510",,
"1.818",,"17",
"1.821","510",,
"1.823",,"17",
"1.826","510",,
"1.829",,"17",
"1.831","510",,
"1.835",,"17",
"1.837","510",,
"1.84",,"17",
"1.842","511",,
"1.845",,"18",
"1.847","510",,
"1.85",,"18",
"1.852","510",,
"1.855",,"18",
"1.858","510",,
"1.86",,"18",
"1.863","510",,
"1.866",,"18",
"1.868","510",,
"1.871",,"18",
"1.873","510",,
"1.876",,"18",
"1.879","511",,
"1.882",,"18",
"1.884","510",,
"1.887",,"18",
"1.889","510",,
"1.892",,"18",
"1.895","510",,
"1.897",,"18",
"1.9","510",,
"1.903",,"18",
"1.905","510",,
"1.908",,"18",
"1.91","510",,
"1.913",,"18",
"1.915","510",,
"1.918",,"18",
"1.921","510",,
"1.924",,"18",
"1.926","510",,
"1.929",,"18",
"1.932","510",,
"1.934",,"18",
"1.937","510",,
"1.94",,"18",
"1.942","510",,
"1.945",,"18",
"1.947","511",,
"1.95",,"19",
"1.952","510",,
"1.955",,"19",
"1.957","510",,
"1.96",,"19",
"1.964","510",,
"1.966",,"19",
"1.969","510",,
"1.971",,"19",
"1.974","510",,
"1.977",,"19",
"1.979","510",,
"1.982",,"19",
"1.984","512",,
"1.987",,"19",
"1.989","510",,
"1.992",,"19",
"1.994","510",,
"1.997",,"19",
"2","510",,
"2.002",,"19",
"2.006","510",,
"2.009",,"19",
"2.011","510",,
"2.014",,"19",
"2.016","510",,
"2.019",,"19",
"2.021","511",,
"2.024",,"19",
"2.026","510",,
"2.029",,"19",
"2.031","510",,
"2.034",,"19",
"2.037","510",,
"2.039",,"19",
"2.042","510",,
"2.045",,"19",
"2.048","510",,
"2.051",,"19",
"2.053","510",,
"2.056",,"20",
"2.058","512",,
"2.061",,"20",
"2.063","510",,
"2.066",,"20",
"2.068","510",,
"2.071",,"20",
"2.074","510",,
"2.076",,"20",
"2.079","510",,
"2.082",,"20",
"2.084","510",,
"2.087",,"20",
"2.089","510",,
"2.093",,"20",
"2.095","511",,
"2.098",,"20",
"2.1","510",,
"2.103",,"20",
"2.105","510",,
"2.108",,"20",
"2.111","510",,
"2.113",,"20",
"2.116","510",,
"2.119",,"20",
"2.121","510",,
"2.124",,"20",
"2.126","512",,
"2.129",,"20",
"2.131","511",,
"2.135",,"20",
"2.137","510",,
"2.14",,"20",
"2.142","510",,
"2.145",,"20",
"2.148","510",,
"2.15",,"21",
"2.153","510",,
"2.156",,"21",
"2.158","510",,
"2.161",,"21",
"2.163","511",,
"2.166",,"21",
"2.168","510",,
"2.171",,"21",
"2.173","510",,
"2.177",,"21",
"2.18","510",,
"2.182",,"21",
"2.185","510",,
"2.187",,"21",
"2.19","510",,
"2.193",,"21",
"2.195","509",,
"2.198",,"21",
"2.2","512",,
"2.203",,"21",
"2.205","510",,
"2.208",,"21",
"2.21","510",,
"2.213",,"21",
"2.216","510",,
"2.219",,"21",
"2.222","510",,
"2.225",,"21",
"2.227","510",,
"2.23",,"21",
"2.232","510",,
"2.235",,"21",
"2.237","512",,
"2.24",,"21",
"2.242","510",,
"2.245",,"21",
"2.247","510",,
"2.25",,"21",
"2.253","510",,
"2.255",,"22",
"2.258","510",,
"2.262",,"22",
"2.264","510",,
"2.267",,"22",
"2.269","510",,
"2.272",,"22",
"2.274","511",,
"2.277",,"22",
"2.279","510",,
"2.282",,"22",
"2.284","510",,
"2.287",,"22",
"2.29","510",,
"2.292",,"22",
"2.295","510",,
"2.298",,"22",
"2.3","510",,
"2.304",,"22",
"2.306","510",,
"2.309",,"22",
"2.311","511",,
"2.314",,"22",
"2.316","510",,
"2.319",,"22",
"2.321","510",,
"2.324",,"22",
"2.327","510",,
"2.329",,"22",
"2.332","510",,
"2.335",,"22",
"2.337","510",,
"2.34",,"22",
"2.342","510",,
"2.345",,"22",
"2.348","510",,
"2.351",,"22",
"2.353","510",,
"2.356",,"22",
"2.358","510",,
"2.361",,"23",
"2.364","510",,
"2.366",,"23",
"2.369","510",,
"2.372",,"23",
"2.374","510",,
"2.377",,"23",
"2.379","512",,
"2.382",,"23",
"2.384","511",,
"2.387",,"23",
"2.39","510",,
"2.393",,"23",
"2.396","510",,
"2.398",,"23",
"2.401","510",,
"2.403",,"23",
"2.406","510",,
"2.409",,"23",
"2.411","510",,
"2.414",,"23",
"2.416","512",,
"2.419",,"23",
"2.421","511",,
"2.424",,"23",
"2.426","510",,
"2.429",,"23",
"2.433","510",,
"2.435",,"23",
"2.438","510",,
"2.441",,"23",
"2.443","510",,
"2.446",,"23",
"2.448","510",,
"2.451",,"23",
"2.453","512",,
"2.456",,"23",
"2.458","510",,
"2.461",,"23",
"2.463","510",,
"2.466",,"24",
"2.469","510",,
"2.471",,"24",
"2.475","510",,
"2.478",,"24",
"2.48","510",,
"2.483",,"24",
"2.485","510",,
"2.488",,"24",
"2.49","512",,
"2.493",,"24",
"2.495","510",,
"2.498",,"24",
"2.5","510",,
"2.503",,"24",
"2.506","510",,
"2.508",,"24",
"2.511","510",,
"2.514",,"24",
"2.516","510",,
"2.52",,"24",
"2.522","510",,
"2.525",,"24",
"2.527","511",,
"2.53",,"24",
"2.532","510",,
"2.535",,"24",
"2.537","510",,
"2.54",,"24",
"2.543","510",,
"2.545",,"24",
"2.548","510",,
"2.551",,"24",
"2.553","510",,
"2.556",,"24",
"2.558","512",,
"2.562",,"24",
"2.564","511",,
"2.567",,"24",
"2.569","510",,
"2.572",,"25",
"2.575","510",,
"2.577",,"25",
"2.58","510",,
"2.582",,"25",
"2.585","510",,
"2.588",,"25",
"2.59","510",,
"2.593",,"25",
"2.595","511",,
"2.598",,"25",
"2.6","510",,
"2.604",,"25",
"2.606","511",,
"2.609",,"25",
"2.612","510",,
"2.614",,"25",
"2.617","510",,
"2.619",,"25",
"2.622","510",,
"2.625",,"25",
"2.627","510",,
"2.63",,"25",
"2.632","512",,
"2.635",,"25",
"2.637","510",,
"2.64",,"25",
"2.642","510",,
"2.646",,"25",
"2.649","510",,
"2.651",,"25",
