timestamp(ms),Hall analog (raw),Solenoid value (0-255),
"8.055","510",,
"8.058",,"77",
"8.06","510",,
"8.064",,"77",
"8.066","513",,
"8.069",,"77",
"8.071","517",,
"8.074",,"77",
"8.076","515",,
"8.079",,"77",
"8.082","512",,
"8.084",,"77",
"8.087","511",,
"8.09",,"77",
"8.092","510",,
"8.095",,"77",
"8.097","510",,
"8.1",,"77",
"8.102","514",,
"8.105",,"77",
"8.108","517",,
"8.111",,"77",
"8.113","514",,
"8.116",,"77",
"8.119","511",,
"8.121",,"77",
"8.124","511",,
"8.127",,"77",
"8.129","510",,
"8.132",,"77",
"8.134","511",,
"8.137",,"78",
"8.139","514",,
"8.142",,"78",
"8.144","518",,
"8.147",,"78",
"8.15","514",,
"8.153",,"78",
"8.156","511",,
"8.158",,"78",
"8.161","511",,
"8.164",,"78",
"8.166","510",,
"8.169",,"78",
"8.171","511",,
"8.174",,"78",
"8.176","516",,
"8.179",,"78",
"8.181","518",,
"8.184",,"78",
"8.187","513",,
"8.189",,"78",
"8.193","511",,
"8.195",,"78",
"8.198","511",,
"8.201",,"78",
"8.203","510",,
"8.206",,"78",
"8.208","513",,
"8.211",,"78",
"8.213","516",,
"8.216",,"78",
"8.218","516",,
"8.221",,"78",
"8.224","512",,
"8.226",,"78",
"8.229","511",,
"8.232",,"78",
"8.235","511",,
"8.238",,"78",
"8.24","510",,
"8.243",,"79",
"8.245","513",,
"8.248",,"79",
"8.25","517",,
"8.253",,"79",
"8.255","517",,
"8.258",,"79",
"8.261","512",,
"8.263",,"79",
"8.266","511",,
"8.269",,"79",
"8.271","510",,
"8.274",,"79",
"8.276","510",,
"8.28",,"79",
"8.282","514",,
"8.285",,"79",
"8.287","517",,
"8.29",,"79",
"8.292","515",,
"8.295",,"79",
"8.298","512",,
"8.3",,"79",
"8.303","511",,
"8.306",,"79",
"8.308","510",,
"8.311",,"79",
"8.313","511",,
"8.316",,"79",
"8.318","514",,
"8.322",,"79",
"8.324","518",,
"8.327",,"79",
"8.329","515",,
"8.332",,"79",
"8.335","511",,
"8.337",,"79",
"8.34","511",,
"8.343",,"79",
"8.345","511",,
"8.348",,"80",
"8.35","510",,
"8.353",,"80",
"8.355","515",,
"8.358",,"80",
"8.36","518",,
"8.364",,"80",
"8.366","513",,
"8.369",,"80",
"8.372","511",,
"8.374",,"80",
"8.377","510",,
"8.38",,"80",
"8.382","510",,
"8.385",,"80",
"8.387","512",,
"8.39",,"80",
"8.392","515",,
"8.395",,"80",
"8.397","517",,
"8.4",,"80",
"8.403","514",,
"8.406",,"80",
"8.409","511",,
"8.411",,"80",
"8.414","510",,
"8.417",,"80",
"8.419","510",,
"8.422",,"80",
"8.424","512",,
"8.427",,"80",
"8.429","516",,
"8.432",,"80",
"8.434","518",,
"8.437",,"80",
"8.44","512",,
"8.442",,"80",
"8.445","511",,
"8.449",,"80",
"8.451","511",,
"8.454",,"81",
"8.456","510",,
"8.459",,"81",
"8.461","513",,
"8.464",,"81",
"8.466","517",,
"8.469",,"81",
"8.471","516",,
"8.474",,"81",
"8.477","513",,
"8.479",,"81",
"8.482","511",,
"8.485",,"81",
"8.487","510",,
"8.491",,"81",
"8.493","510",,
"8.496",,"81",
"8.498","514",,
"8.501",,"81",
"8.503","518",,
"8.506",,"81",
"8.508","516",,
"8.511",,"81",
"8.514","512",,
"8.516",,"81",
"8.519","511",,
"8.522",,"81",
"8.524","510",,
"8.527",,"81",
"8.529","510",,
"8.532",,"81",
"8.535","515",,
"8.538",,"81",
"8.54","518",,
"8.543",,"81",
"8.545","514",,
"8.548",,"81",
"8.551","512",,
"8.553",,"81",
"8.556","511",,
"8.559",,"82",
"8.561","510",,
"8.564",,"82",
"8.566","512",,
"8.569",,"82",
"8.571","515",,
"8.574",,"82",
"8.577","518",,
"8.58",,"82",
"8.582","514",,
"8.585",,"82",
"8.588","511",,
"8.59",,"82",
"8.593","511",,
"8.596",,"82",
"8.598","510",,
"8.601",,"82",
"8.603","512",,
"8.606",,"82",
"8.608","516",,
"8.611",,"82",
"8.613","519",,
"8.616",,"82",
"8.62","513",,
"8.622",,"82",
"8.625","511",,
"8.627",,"82",
"8.63","511",,
"8.633",,"82",
"8.635","510",,
"8.638",,"82",
"8.64","513",,
"8.643",,"82",
"8.645","516",,
"8.648",,"82",
"8.65","517",,
"8.653",,"82",
"8.656","513",,
"8.658",,"82",
"8.662","511",,
"8.665",,"83",
"8.667","511",,
"8.67",,"83",
"8.672","511",,
"8.675",,"83",
"8.677","513",,
"8.68",,"83",
"8.682","517",,
"8.685",,"83",
"8.687","517",,
"8.69",,"83",
"8.693","512",,
"8.695",,"83",
"8.698","511",,
"8.701",,"83",
"8.704","511",,
"8.707",,"83",
"8.709","511",,
"8.712",,"83",
"8.714","514",,
"8.717",,"83",
"8.719","517",,
"8.722",,"83",
"8.724","515",,
"8.727",,"83",
"8.73","512",,
"8.732",,"83",
"8.735","511",,
"8.738",,"83",
"8.74","510",,
"8.743",,"83",
"8.745","511",,
"8.749",,"83",
"8.751","514",,
"8.754",,"83",
"8.756","519",,
"8.759",,"83",
"8.761","516",,
"8.764",,"83",
"8.767","512",,
"8.769",,"84",
"8.772","511",,
"8.775",,"84",
"8.777","510",,
"8.78",,"84",
"8.782","511",,
"8.785",,"84",
"8.787","516",,
"8.791",,"84",
"8.793","519",,
"8.796",,"84",
"8.799","514",,
"8.801",,"84",
"8.804","512",,
"8.806",,"84",
"8.809","511",,
"8.812",,"84",
"8.814","511",,
"8.817",,"84",
"8.819","512",,
"8.822",,"84",
"8.824","515",,
"8.827",,"84",
"8.829","518",,
"8.833",,"84",
"8.836","514",,
"8.838",,"84",
"8.841","511",,
"8.843",,"84",
"8.846","511",,
"8.849",,"84",
"8.851","510",,
"8.854",,"84",
"8.856","512",,
"8.859",,"84",
"8.861","517",,
"8.864",,"84",
"8.866","518",,
"8.869",,"84",
"8.872","513",,
"8.875",,"85",
"8.878","511",,
"8.881",,"85",
"8.883","511",,
"8.886",,"85",
"8.888","510",,
"8.891",,"85",
"8.893","514",,
"8.896",,"85",
"8.898","517",,
"8.901",,"85",
"8.903","517",,
"8.906",,"85",
"8.909","513",,
"8.911",,"85",
"8.914","511",,
"8.918",,"85",
"8.92","510",,
"8.923",,"85",
"8.925","511",,
"8.928",,"85",
"8.93","514",,
"8.933",,"85",
"8.935","518",,
"8.938",,"85",
"8.94","517",,
"8.943",,"85",
"8.946","512",,
"8.948",,"85",
"8.951","511",,
"8.954",,"85",
"8.956","511",,
"8.96",,"85",
"8.962","511",,
"8.965",,"85",
"8.967","515",,
"8.97",,"85",
"8.972","518",,
"8.975",,"85",
"8.977","515",,
"8.98",,"86",
"8.983","512",,
"8.985",,"86",
"8.988","511",,
"8.991",,"86",
"8.993","510",,
"8.996",,"86",
"8.998","512",,
"9.001",,"86",
"9.004","515",,
"9.007",,"86",
"9.009","519",,
"9.012",,"86",
"9.015","515",,
"9.017",,"86",
"9.02","512",,
"9.022",,"86",
"9.025","511",,
"9.028",,"86",
"9.03","510",,
"9.033",,"86",
"9.035","512",,
"9.038",,"86",
"9.04","516",,
"9.043",,"86",
"9.046","519",,
"9.049",,"86",
"9.052","514",,
"9.054",,"86",
"9.057","511",,
"9.06",,"86",
"9.062","511",,
"9.065",,"86",
"9.067","510",,
"9.07",,"86",
"9.072","513",,
"9.075",,"86",
"9.077","517",,
"9.08",,"86",
"9.082","517",,
"9.085",,"87",
"9.089","514",,
"9.091",,"87",
"9.094","511",,
"9.097",,"87",
"9.099","511",,
"9.102",,"87",
"9.104","510",,
"9.107",,"87",
"9.109","513",,
"9.112",,"87",
"9.114","518",,
"9.117",,"87",
"9.119","518",,
"9.122",,"87",
"9.125","513",,
"9.127",,"87",
"9.131","511",,
"9.134",,"87",
"9.136","511",,
"9.139",,"87",
"9.141","510",,
"9.144",,"87",
"9.146","515",,
"9.149",,"87",
"9.151","518",,
"9.154",,"87",
"9.156","516",,
"9.159",,"87",
"9.162","512",,
"9.164",,"87",
"9.167","511",,
"9.17",,"87",
"9.172","511",,
"9.176",,"87",
"9.178","512",,
"9.181",,"87",
"9.183","515",,
"9.186",,"87",
"9.188","519",,
"9.191",,"88",
"9.193","516",,
"9.196",,"88",
"9.199","512",,
"9.201",,"88",
"9.204","511",,
"9.207",,"88",
"9.209","510",,
"9.212",,"88",
"9.214","511",,
"9.218",,"88",
"9.22","516",,
"9.223",,"88",
"9.225","519",,
"9.228",,"88",
"9.231","515",,
"9.233",,"88",
"9.236","512",,
"9.238",,"88",
"9.241","511",,
"9.244",,"88",
"9.246","510",,
"9.249",,"88",
"9.251","513",,
"9.254",,"88",
"9.256","516",,
"9.26",,"88",
"9.262","518",,
"9.265",,"88",
"9.268","514",,
"9.27",,"88",
"9.273","512",,
"9.276",,"88",
"9.278","510",,
"9.281",,"88",
"9.283","510",,
"9.286",,"88",
"9.288","513",,
"9.291",,"88",
"9.293","517",,
"9.296",,"89",
"9.298","519",,
"9.302",,"89",
"9.305","514",,
"9.307",,"89",
"9.31","511",,
"9.313",,"89",
"9.315","511",,
"9.318",,"89",
"9.32","510",,
"9.323",,"89",
"9.325","514",,
"9.328",,"89",
"9.33","517",,
"9.333",,"89",
"9.335","517",,
"9.338",,"89",
"9.341","513",,
"9.344",,"89",
"9.347","511",,
"9.35",,"89",
"9.352","511",,
"9.355",,"89",
"9.357","511",,
"9.36",,"89",
"9.362","514",,
"9.365",,"89",
"9.367","519",,
"9.37",,"89",
"9.372","517",,
"9.375",,"89",
"9.378","512",,
"9.38",,"89",
"9.383","511",,
"9.387",,"89",
"9.389","511",,
"9.392",,"89",
"9.394","511",,
"9.397",,"89",
"9.399","516",,
"9.402",,"90",
"9.404","518",,
"9.407",,"90",
"9.409","516",,
"9.412",,"90",
"9.415","513",,
"9.417",,"90",
"9.42","511",,
"9.423",,"90",
"9.425","511",,
"9.428",,"90",
"9.431","512",,
"9.434",,"90",
"9.436","515",,
"9.439",,"90",
"9.441","519",,
"9.444",,"90",
"9.447","515",,
"9.449",,"90",
"9.452","511",,
"9.454",,"90",
"9.457","511",,
"9.46",,"90",
"9.462","510",,
"9.465",,"90",
"9.467","512",,
"9.47",,"90",
"9.473","517",,
"9.476",,"90",
"9.478","519",,
"9.481",,"90",
"9.484","514",,
"9.486",,"90",
"9.489","511",,
"9.492",,"90",
"9.494","511",,
"9.497",,"90",
"9.499","510",,
"9.502",,"90",
"9.504","513",,
"9.507",,"91",
"9.509","517",,
"9.512",,"91",
"9.515","518",,
"9.518",,"91",
"9.521","514",,
"9.523",,"91",
"9.526","512",,
"9.529",,"91",
"9.531","511",,
"9.534",,"91",
"9.536","510",,
"9.539",,"91",
"9.541","514",,
"9.544",,"91",
"9.546","518",,
"9.549",,"91",
"9.551","518",,
"9.554",,"91",
"9.558","513",,
"9.56",,"91",
"9.563","512",,
"9.566",,"91",
"9.568","511",,
"9.571",,"91",
"9.573","511",,
"9.576",,"91",
"9.578","515",,
"9.581",,"91",
"9.583","518",,
"9.586",,"91",
"9.588","517",,
"9.591",,"91",
"9.594","513",,
"9.596",,"91",
"9.6","511",,
"9.603",,"91",
"9.605","511",,
"9.608",,"91",
"9.61","512",,
"9.613",,"92",
"9.615","515",,
"9.618",,"92",
"9.62","519",,
"9.623",,"92",
"9.626","517",,
"9.628",,"92",
"9.631","512",,
"9.633",,"92",
"9.636","511",,
"9.639",,"92",
"9.641","511",,
"9.645",,"92",
"9.647","512",,
"9.65",,"92",
"9.652","516",,
"9.655",,"92",
"9.657","519",,
"9.66",,"92",
"9.663","515",,
"9.665",,"92",
"9.668","512",,
"9.67",,"92",
"9.673","511",,
"9.676",,"92",
"9.678","511",,
"9.681",,"92",
"9.683","513",,
"9.687",,"92",
"9.689","516",,
"9.692",,"92",
"9.694","519",,
"9.697",,"92",
"9.7","515",,
"9.702",,"92",
"9.705","512",,
"9.708",,"92",
"9.71","511",,
"9.713",,"92",
"9.715","510",,
"9.718",,"93",
"9.72","513",,
"9.723",,"93",
"9.725","518",,
"9.729",,"93",
"9.731","519",,
"9.734",,"93",
"9.737","514",,
"9.739",,"93",
"9.742","512",,
"9.745",,"93",
"9.747","511",,
"9.75",,"93",
"9.752","511",,
"9.755",,"93",
"9.757","514",,
"9.76",,"93",
"9.762","518",,
"9.765",,"93",
"9.767","518",,
"9.771",,"93",
"9.774","514",,
"9.776",,"93",
"9.779","511",,
"9.782",,"93",
"9.784","511",,
"9.787",,"93",
"9.789","511",,
"9.792",,"93",
"9.794","514",,
"9.797",,"93",
"9.799","519",,
"9.802",,"93",
"9.804","518",,
"9.807",,"93",
"9.81","513",,
"9.812",,"93",
"9.816","511",,
"9.819",,"93",
"9.821","510",,
"9.824",,"94",
"9.826","511",,
"9.829",,"94",
"9.831","516",,
"9.834",,"94",
"9.836","519",,
"9.839",,"94",
"9.842","516",,
"9.844",,"94",
"9.847","513",,
"9.849",,"94",
"9.852","511",,
"9.856",,"94",
"9.858","511",,
"9.861",,"94",
"9.863","513",,
"9.866",,"94",
"9.868","516",,
"9.871",,"94",
"9.873","520",,
"9.876",,"94",
"9.879","516",,
"9.881",,"94",
"9.884","512",,
"9.887",,"94",
"9.889","511",,
"9.892",,"94",
"9.894","511",,
"9.897",,"94",
"9.9","513",,
"9.903",,"94",
"9.905","517",,
"9.908",,"94",
"9.91","520",,
"9.913",,"94",
"9.916","515",,
"9.918",,"94",
"9.921","512",,
"9.924",,"94",
"9.926","511",,
"9.929",,"95",
"9.931","511",,
"9.934",,"95",
"9.936","514",,
"9.939",,"95",
"9.942","517",,
"9.945",,"95",
"9.947","519",,
"9.95",,"95",
"9.953","514",,
"9.955",,"95",
"9.958","511",,
"9.961",,"95",
"9.963","511",,
"9.966",,"95",
"9.968","511",,
"9.971",,"95",
"9.973","514",,
"9.976",,"95",
"9.978","518",,
"9.981",,"95",
"9.984","519",,
"9.987",,"95",
"9.99","513",,
"9.992",,"95",
"9.995","511",,
"9.998",,"95",
"10","511",,
"10.003",,"95",
"10.005","515",,
"10.008",,"95",
"10.011","516",,
"10.013",,"95",
"10.016","511",,
"10.019",,"95",
"10.021","514",,
"10.024",,"95",
"10.027","519",,
"10.03",,"95",
"10.033","511",,
"10.036",,"96",
"10.038","512",,
"10.041",,"96",
"10.043","520",,
"10.046",,"96",
"10.049","512",,
"10.052",,"96",
"10.054","511",,
"10.057",,"96",
"10.059","518",,
"10.062",,"96",
"10.065","513",,
"10.068",,"96",
"10.071","511",,
"10.074",,"96",
"10.076","517",,
"10.079",,"96",
"10.082","515",,
"10.084",,"96",
"10.087","511",,
"10.09",,"96",
"10.092","515",,
"10.095",,"96",
"10.098","516",,
"10.1",,"96",
"10.103","511",,
"10.106",,"96",
"10.108","514",,
"10.112",,"96",
"10.114","519",,
"10.117",,"96",
"10.12","511",,
"10.123",,"96",
"10.125","512",,
"10.128",,"96",
"10.13","520",,
"10.133",,"96",
"10.136","512",,
"10.139",,"96",
"10.141","511",,
"10.144",,"97",
"10.146","518",,
"10.149",,"97",
"10.152","513",,
"10.156",,"97",
"10.158","511",,
"10.161",,"97",
"10.163","517",,
"10.166",,"97",
"10.169","515",,
"10.171",,"97",
"10.174","511",,
"10.177",,"97",
"10.179","515",,
"10.182",,"97",
"10.185","516",,
"10.187",,"97",
"10.19","511",,
"10.193",,"97",
"10.195","514",,
"10.199",,"97",
"10.201","519",,
"10.204",,"97",
"10.207","512",,
"10.21",,"97",
"10.212","512",,
"10.215",,"97",
"10.217","520",,
"10.22",,"97",
"10.223","512",,
"10.226",,"97",
"10.228","511",,
"10.231",,"97",
"10.233","518",,
"10.236",,"97",
"10.24","513",,
"10.243",,"97",
"10.245","511",,
"10.248",,"97",
"10.25","517",,
"10.253",,"98",
"10.256","515",,
"10.258",,"98",
"10.261","511",,
"10.264",,"98",
"10.266","515",,
"10.269",,"98",
"10.272","517",,
"10.274",,"98",
"10.277","511",,
"10.28",,"98",
"10.283","514",,
"10.286",,"98",
"10.288","519",,
"10.291",,"98",
"10.294","512",,
"10.297",,"98",
"10.299","512",,
"10.302",,"98",
"10.304","521",,
"10.307",,"98",
"10.31","512",,
"10.313",,"98",
"10.315","511",,
"10.318",,"98",
"10.32","518",,
"10.323",,"98",
"10.327","513",,
"10.33",,"98",
"10.332","511",,
"10.335",,"98",
"10.337","517",,
"10.34",,"98",
"10.343","515",,
"10.345",,"98",
"10.348","511",,
"10.351",,"98",
"10.353","515",,
"10.356",,"98",
"10.359","517",,
"10.361",,"99",
"10.364","511",,
"10.368",,"99",
"10.37","514",,
"10.373",,"99",
"10.375","520",,
"10.378",,"99",
"10.381","511",,
"10.384",,"99",
"10.386","512",,
"10.389",,"99",
"10.391","520",,
"10.394",,"99",
"10.397","512",,
"10.4",,"99",
"10.402","511",,
"10.405",,"99",
"10.407","519",,
"10.411",,"99",
"10.414","513",,
"10.417",,"99",
"10.419","511",,
"10.422",,"99",
"10.424","517",,
"10.427",,"99",
"10.43","516",,
"10.432",,"99",
"10.435","511",,
"10.438",,"99",
"10.44","515",,
"10.443",,"99",
"10.446","517",,
"10.448",,"99",
"10.451","511",,
"10.455",,"99",
"10.457","514",,
"10.46",,"99",
"10.462","520",,
"10.465",,"99",
"10.468","512",,
"10.471",,"100",
"10.473","514",,
"10.476",,"100",
"10.479","515",,
"10.481",,"100",
"10.484","511",,
"10.487",,"100",
"10.489","519",,
"10.492",,"100",
"10.496","512",,
"10.499",,"100",
"10.501","514",,
"10.504",,"100",
"10.507","517",,
"10.509",,"100",
"10.512","511",,
"10.515",,"100",
"10.517","518",,
"10.52",,"100",
"10.523","512",,
"10.526",,"100",
"10.528","513",,
"10.531",,"100",
"10.534","517",,
"10.536",,"100",
"10.54","511",,
"10.543",,"100",
"10.545","518",,
"10.548",,"100",
"10.551","513",,
"10.554",,"100",
"10.556","513",,
"10.559",,"100",
"10.561","519",,
"10.564",,"100",
"10.567","511",,
"10.57",,"100",
"10.572","517",,
"10.575",,"100",
"10.578","513",,
"10.582",,"101",
"10.584","512",,
"10.587",,"101",
"10.589","519",,
"10.592",,"101",
"10.595","511",,
"10.598",,"101",
"10.6","517",,
"10.603",,"101",
"10.606","514",,
"10.609",,"101",
"10.611","512",,
"10.614",,"101",
"10.616","520",,
"10.619",,"101",
"10.622","511",,
"10.626",,"101",
"10.628","516",,
"10.631",,"101",
"10.634","514",,
"10.637",,"101",
"10.639","511",,
"10.642",,"101",
"10.644","520",,
"10.647",,"101",
"10.65","511",,
"10.653",,"101",
"10.655","516",,
"10.658",,"101",
"10.661","515",,
"10.664",,"101",
"10.667","511",,
"10.67",,"101",
"10.672","520",,
"10.675",,"101",
"10.678","511",,
"10.681",,"101",
"10.683","515",,
"10.686",,"101",
"10.689","515",,
"10.692",,"102",
"10.694","511",,
"10.697",,"102",
"10.699","520",,
"10.702",,"102",
"10.705","512",,
"10.708",,"102",
"10.711","515",,
"10.714",,"102",
"10.717","517",,
"10.719",,"102",
"10.722","511",,
"10.725",,"102",
"10.727","519",,
"10.73",,"102",
"10.733","512",,
"10.736",,"102",
"10.738","514",,
"10.741",,"102",
"10.744","516",,
"10.746",,"102",
"10.749","511",,
"10.753",,"102",
"10.755","519",,
"10.758",,"102",
"10.761","512",,
"10.764",,"102",
"10.766","514",,
"10.769",,"102",
"10.772","518",,
"10.774",,"102",
"10.777","511",,
"10.78",,"102",
"10.782","518",,
"10.785",,"102",
"10.788","512",,
"10.791",,"102",
"10.793","513",,
"10.797",,"102",
"10.8","518",,
"10.802",,"103",
"10.805","511",,
"10.808",,"103",
"10.81","518",,
"10.813",,"103",
"10.816","513",,
"10.819",,"103",
"10.821","513",,
"10.824",,"103",
"10.826","520",,
"10.829",,"103",
"10.832","511",,
"10.835",,"103",
"10.838","517",,
"10.841",,"103",
"10.844","513",,
"10.847",,"103",
"10.849","512",,
"10.852",,"103",
"10.854","520",,
"10.857",,"103",
"10.86","511",,
"10.863",,"103",
"10.865","517",,
"10.868",,"103",
"10.871","514",,
"10.874",,"103",
"10.876","512",,
"10.88",,"103",
"10.882","521",,
"10.885",,"103",
"10.888","511",,
"10.891",,"103",
"10.893","516",,
"10.896",,"103",
"10.899","514",,
"10.902",,"103",
"10.904","511",,
"10.907",,"103",
"10.909","521",,
"10.912",,"104",
"10.915","512",,
"10.918",,"104",
"10.92","516",,
"10.924",,"104",
"10.927","516",,
"10.93",,"104",
"10.932","511",,
"10.935",,"104",
"10.937","520",,
"10.94",,"104",
"10.943","511",,
"10.946",,"104",
"10.948","515",,
"10.951",,"104",
"10.954","516",,
"10.956",,"104",
"10.959","511",,
"10.962",,"104",
"10.964","520",,
"10.968",,"104",
"10.971","512",,
"10.974",,"104",
"10.976","515",,
"10.979",,"104",
"10.982","518",,
"10.984",,"104",
"10.987","511",,
"10.99",,"104",
"10.992","519",,
"10.995",,"104",
"10.998","512",,
"11.001",,"104",
"11.003","513",,
"11.006",,"104",
"11.01","518",,
"11.012",,"104",
"11.015","511",,
"11.018",,"104",
"11.02","519",,
"11.023",,"105",
"11.026","513",,
"11.029",,"105",
"11.031","514",,
"11.034",,"105",
"11.037","520",,
"11.039",,"105",
"11.042","511",,
"11.045",,"105",
"11.047","518",,
"11.051",,"105",
"11.054","513",,
"11.057",,"105",
"11.059","513",,
"11.062",,"105",
"11.064","519",,
"11.067",,"105",
"11.07","511",,
"11.073",,"105",
"11.075","517",,
"11.078",,"105",
"11.081","514",,
"11.084",,"105",
"11.086","512",,
"11.089",,"105",
"11.091","521",,
"11.095",,"105",
"11.098","511",,
"11.101",,"105",
"11.103","516",,
"11.106",,"105",
"11.109","514",,
"11.112",,"105",
"11.114","511",,
"11.117",,"105",
"11.119","521",,
"11.122",,"105",
"11.125","511",,
"11.128",,"105",
"11.13","516",,
"11.133",,"106",
"11.137","516",,
"11.14",,"106",
"11.142","511",,
"11.145",,"106",
"11.147","521",,
"11.15",,"106",
"11.153","511",,
"11.156",,"106",
"11.158","515",,
"11.161",,"106",
"11.164","515",,
"11.167",,"106",
"11.169","511",,
"11.172",,"106",
"11.174","521",,
"11.177",,"106",
"11.181","512",,
"11.184",,"106",
"11.186","516",,
"11.189",,"106",
"11.192","517",,
"11.194",,"106",
"11.197","511",,
"11.2",,"106",
"11.202","519",,
"11.205",,"106",
"11.208","512",,
"11.211",,"106",
"11.213","514",,
"11.216",,"106",
"11.219","517",,
"11.222",,"106",
"11.225","511",,
"11.228",,"106",
"11.23","520",,
"11.233",,"106",
"11.236","513",,
"11.239",,"106",
"11.241","514",,
"11.244",,"107",
"11.247","519",,
"11.249",,"107",
"11.252","511",,
"11.255",,"107",
"11.257","519",,
"11.26",,"107",
"11.264","513",,
"11.267",,"107",
"11.269","513",,
"11.272",,"107",
"11.275","519",,
"11.277",,"107",
"11.28","511",,
"11.283",,"107",
"11.285","518",,
"11.288",,"107",
"11.291","514",,
"11.294",,"107",
"11.296","513",,
"11.299",,"107",
"11.301","520",,
"11.304",,"107",
"11.308","511",,
"11.311",,"107",
"11.313","517",,
"11.316",,"107",
"11.319","513",,
"11.322",,"107",
"11.324","512",,
"11.327",,"107",
"11.329","520",,
"11.332",,"107",
"11.335","511",,
"11.338",,"107",
"11.34","517",,
"11.343",,"107",
"11.346","515",,
"11.35",,"107",
"11.352","512",,
"11.355",,"108",
"11.357","521",,
"11.36",,"108",
"11.363","512",,
"11.366",,"108",
"11.368","516",,
"11.371",,"108",
"11.374","515",,
"11.377",,"108",
"11.379","511",,
"11.382",,"108",
"11.384","521",,
"11.387",,"108",
"11.39","512",,
"11.394",,"108",
"11.396","516",,
"11.399",,"108",
"11.402","516",,
"11.405",,"108",
"11.407","511",,
"11.41",,"108",
"11.412","520",,
"11.415",,"108",
"11.418","512",,
"11.421",,"108",
"11.423","515",,
"11.426",,"108",
"11.429","516",,
"11.431",,"108",
"11.435","511",,
"11.438",,"108",
"11.44","520",,
"11.443",,"108",
"11.446","512",,
"11.449",,"108",
"11.451","515",,
"11.454",,"108",
"11.457","518",,
"11.459",,"108",
"11.462","511",,
"11.465",,"109",
"11.467","519",,
"11.47",,"109",
"11.473","512",,
"11.476",,"109",
"11.479","515",,
"11.482",,"109",
"11.485","518",,
"11.487",,"109",
"11.49","511",,
"11.493",,"109",
"11.495","519",,
"11.498",,"109",
"11.501","513",,
"11.504",,"109",
"11.506","514",,
"11.509",,"109",
"11.512","520",,
"11.514",,"109",
"11.517","511",,
"11.521",,"109",
"11.523","518",,
"11.526",,"109",
"11.529","513",,
"11.532",,"109",
"11.534","513",,
"11.537",,"109",
"11.54","520",,
"11.542",,"109",
"11.545","511",,
"11.548",,"109",
"11.55","518",,
"11.553",,"109",
"11.556","515",,
"11.559",,"109",
"11.561","513",,
"11.565",,"109",
"11.567","521",,
"11.57",,"109",
"11.573","511",,
"11.576",,"110",
"11.578","517",,
"11.581",,"110",
"11.584","514",,
"11.587",,"110",
"11.589","512",,
"11.592",,"110",
"11.594","521",,
"11.597",,"110",
"11.6","512",,
"11.603",,"110",
"11.606","517",,
"11.609",,"110",
"11.612","516",,
"11.615",,"110",
"11.617","512",,
"11.62",,"110",
"11.622","521",,
"11.625",,"110",
"11.628","512",,
"11.631",,"110",
"11.633","516",,
"11.636",,"110",
"11.639","516",,
"11.642",,"110",
"11.644","511",,
"11.648",,"110",
"11.65","521",,
"11.653",,"110",
"11.656","512",,
"11.659",,"110",
"11.661","516",,
"11.664",,"110",
"11.667","518",,
"11.67",,"110",
"11.672","511",,
"11.675",,"110",
"11.677","520",,
"11.68",,"110",
"11.683","512",,
"11.686",,"111",
"11.688","515",,
"11.692",,"111",
"11.695","518",,
"11.697",,"111",
"11.7","511",,
"11.703",,"111",
"11.705","520",,
"11.708",,"111",
"11.711","513",,
"11.714",,"111",
"11.716","515",,
"11.719",,"111",
"11.722","520",,
"11.724",,"111",
"11.727","511",,
"11.73",,"111",
"11.732","519",,
"11.736",,"111",
"11.739","513",,
"11.742",,"111",
"11.744","514",,
"11.747",,"111",
"11.75","519",,
"11.752",,"111",
"11.755","511",,
"11.758",,"111",
"11.76","519",,
"11.763",,"111",
"11.766","514",,
"11.769",,"111",
"11.771","514",,
"11.774",,"111",
"11.778","521",,
"11.78",,"111",
"11.783","511",,
"11.786",,"111",
"11.788","518",,
"11.791",,"111",
"11.794","514",,
"11.797",,"112",
"11.799","513",,
"11.802",,"112",
"11.804","521",,
"11.807",,"112",
"11.81","512",,
"11.813",,"112",
"11.815","517",,
"11.819",,"112",
"11.822","516",,
"11.825",,"112",
"11.827","513",,
"11.83",,"112",
"11.832","522",,
"11.835",,"112",
"11.838","512",,
"11.841",,"112",
"11.843","517",,
"11.846",,"112",
"11.849","516",,
"11.852",,"112",
"11.854","511",,
"11.857",,"112",
"11.859","522",,
"11.863",,"112",
"11.866","512",,
"11.869",,"112",
"11.871","516",,
"11.874",,"112",
"11.877","517",,
"11.88",,"112",
"11.882","511",,
"11.885",,"112",
"11.887","520",,
"11.89",,"112",
"11.893","512",,
"11.896",,"112",
"11.898","516",,
"11.901",,"112",
"11.905","517",,
"11.908",,"113",
"11.91","511",,
"11.913",,"113",
"11.915","521",,
"11.918",,"113",
"11.921","513",,
"11.924",,"113",
"11.926","516",,
"11.929",,"113",
"11.932","519",,
"11.934",,"113",
"11.937","511",,
"11.94",,"113",
"11.942","519",,
"11.945",,"113",
"11.949","513",,
"11.952",,"113",
"11.954","514",,
"11.957",,"113",
"11.96","519",,
"11.962",,"113",
"11.965","511",,
"11.968",,"113",
"11.97","520",,
"11.973",,"113",
"11.976","514",,
"11.979",,"113",
"11.981","514",,
"11.984",,"113",
"11.987","520",,
"11.99",,"113",
"11.993","511",,
"11.996",,"113",
"11.998","518",,
"12.001",,"113",
"12.004","514",,
"12.007",,"113",
"12.009","513",,
"12.012",,"113",
